Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1890 S Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365409295174,"Mar 29, 2026",$89.60,$0.00,,,Fixed price,https://www.ebay.com/itm/365409295174
AU+ 1890-S Morgan Silver Dollar (1 coin),127039418823,"Jan 20, 2026",$67.02,$0.00,,,Fixed price,https://www.ebay.com/itm/127039418823
VF 1890-S Morgan Silver Dollar (1 coin),365575707337,"Jan 2, 2026",$49.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365575707337
XF 1890-S Morgan Silver Dollar (1 coin),136533764655,"Jan 2, 2026",$57.58,$0.00,,,Fixed price,https://www.ebay.com/itm/136533764655
1890-S $1 Morgan Silver Dollar ANACS AU 50,304946330433,"Jan 28, 2026",$78.84,$0.00,,,Fixed price,https://www.ebay.com/itm/304946330433
BU/Unc 1890-S Morgan Silver Dollar (1 coin),125728118050,"Mar 10, 2026",$94.78,$0.00,,,Fixed price,https://www.ebay.com/itm/125728118050
1890-S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,375391602457,"Mar 19, 2026",$102.59,$0.00,,,Fixed price,https://www.ebay.com/itm/375391602457
,,"Nov 29, 2025",$161.41,$0.00,,,Fixed price,
1890 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,397557833798,"Apr 2, 2026",$179.87,$0.00,,,Fixed price,https://www.ebay.com/itm/397557833798
EF/UNC. DETAIL 1890-S MORGAN SILVER DOLLAR COLLECTOR GRADE COIN M-1318,116965304761,"Jan 28, 2026",$76.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116965304761
"Morgan Silver dollar coins 1880 s, 1881 s, 1883 nm, 1884 s, 1890 s, 1899o Cull",127658874963,"Feb 8, 2026",$69.00,$11.98,,,Fixed price,https://www.ebay.com/itm/127658874963
1890-S Morgan Silver Dollar–Mint State–Extremely Scarce Date–Strong Strike,157285672340,"Jan 17, 2026",$112.42,$5.13,,,Fixed price,https://www.ebay.com/itm/157285672340
1890 S Morgan Dollar Au-Bu Uncirculated 90% Silver,266928806657,"Jan 30, 2026",$96.40,$0.00,,,Fixed price,https://www.ebay.com/itm/266928806657
✯1890 S Uncirculated Morgan Silver Dollar 1x Choice/Gem BU From OBW Roll Estate✯,296179058611,"Feb 14, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/296179058611
1890-S $1 Morgan Silver Dollar ANACS AU 55,304946330435,"Jan 25, 2026",$80.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304946330435
1890-S $1 Morgan Silver Dollar ANACS AU 53,304946330437,"Feb 5, 2026",$77.78,$0.00,,,Fixed price,https://www.ebay.com/itm/304946330437
1890-S $1 Morgan Silver Dollar ANACS AU 58,304946330448,"Jan 25, 2026",$85.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304946330448
G/VG 1890-S Morgan Silver Dollar (1 coin),365064395437,"Jan 4, 2026",$52.75,$0.00,,,Fixed price,https://www.ebay.com/itm/365064395437
,,"Dec 11, 2025",$155.00,$0.00,,,Fixed price,
,,"Dec 31, 2025",$55.00,$4.50,,,Fixed price,
1890-S MORGAN SILVER DOLLAR,116047222191,"Jan 28, 2026",$80.00,$4.99,,,Fixed price,https://www.ebay.com/itm/116047222191
,,"Oct 16, 2025",$45.00,$0.00,,,Fixed price,
1890-S Morgan Silver Dollar Coin Graded MS63 by PCGS,116449178906,"Mar 12, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116449178906
,,"Jan 2, 2026",$63.00,$0.00,,,Fixed price,
1890-S Morgan Silver Dollar AU+ (cn15124),116666463772,"Jan 9, 2026",$70.00,$4.00,,,Fixed price,https://www.ebay.com/itm/116666463772
,,"Oct 19, 2025",$109.00,$0.00,,,Fixed price,
,,"Oct 15, 2025",$52.00,$4.65,,,Auction,
,,"Oct 16, 2025",$145.50,$7.49,,,Auction,
,,"Oct 18, 2025",$605.00,$5.24,,,Fixed price,
1890 S Morgan Silver Dollar Circulated,116832639488,"Jan 28, 2026",$75.00,$8.20,,,Fixed price,https://www.ebay.com/itm/116832639488
,,"Oct 27, 2025",$89.00,$6.50,,,Auction,
,,"Nov 5, 2025",$39.00,$4.76,,,Auction,
,,"Nov 8, 2025",$33.01,$5.00,,,Auction,
,,"Nov 13, 2025",$47.75,$5.95,,,Auction,
,,"Nov 19, 2025",$36.02,$0.00,,,Auction,
1890-S MORGAN DOLLAR***PCGS AU58,116880559395,"Jan 25, 2026",$85.00,$4.75,,,Fixed price,https://www.ebay.com/itm/116880559395
,,"Nov 23, 2025",$143.75,$4.00,,,Auction,
,,"Nov 23, 2025",$70.00,$5.09,,,Auction,
,,"Nov 26, 2025",$70.00,$5.25,,,Fixed price,
,,"Dec 6, 2025",$56.00,$4.00,,,Auction,
,,"Dec 4, 2025",$72.00,$5.25,,,Fixed price,
,,"Dec 8, 2025",$48.00,$5.00,,,Auction,
,,"Dec 6, 2025",$50.55,$6.50,,,Auction,
,,"Dec 7, 2025",$46.00,$4.00,,,Auction,
,,"Dec 7, 2025",$61.00,$4.00,,,Auction,
,,"Dec 15, 2025",$96.00,$4.99,,,Auction,
,,"Dec 20, 2025",$155.70,$7.20,,,Auction,
,,"Dec 11, 2025",$132.00,$5.45,,,Fixed price,
,,"Dec 22, 2025",$56.89,$5.00,,,Auction,
,,"Dec 30, 2025",$78.00,$0.00,,,Auction,
