Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 3, 2025",$22.30,$0.00,,,Fixed price,
,,"Nov 11, 2025",$21.99,$0.00,,,Fixed price,
[Removed] Item 197747641162,197747641162,"Oct 21, 2025",$21.83,$8.00,,,Fixed price,
,,"Nov 2, 2025",$21.58,$0.00,,,Fixed price,
VG/F 1903-S Morgan Silver Dollar (1 coin),126671183550,"Dec 27, 2025",$117.82,$0.00,,,Fixed price,https://www.ebay.com/itm/126671183550
VF 1903-S Morgan Silver Dollar (1 coin),126671186930,"Jan 18, 2026",$248.01,$0.00,,,Fixed price,https://www.ebay.com/itm/126671186930
[Removed] Item 177500729737,177500729737,"Oct 19, 2025",$23.68,$0.00,,,Fixed price,
,,"Oct 27, 2025",$36.79,$5.00,,,Fixed price,
,,"Nov 2, 2025",$21.99,$0.00,,,Fixed price,
,,"Nov 6, 2025",$23.27,$0.00,,,Fixed price,
,,"Dec 5, 2025",$205.00,$5.00,,,Fixed price,
,,"Oct 28, 2025",$326.00,$0.00,,,Fixed price,
,,"Nov 30, 2025","$1,079.10",$0.00,,,Fixed price,
1903-S Morgan Silver Dollar,116848424675,"Mar 2, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116848424675
1903-S Morgan Silver Dollar $1 PCGS XF 45 - 15513966,116865851350,"Mar 27, 2026","$1,100.00",$7.95,,,Fixed price,https://www.ebay.com/itm/116865851350
1903 Morgan Silver Dollar U S Postal Commemorative Stamp Set Rare 6/25c Stamps,116869430111,"Jan 15, 2026",$79.00,$4.95,,,Fixed price,https://www.ebay.com/itm/116869430111
,,"Nov 23, 2025",$62.02,$1.10,,,Auction,
,,"Nov 27, 2025",$75.01,$5.15,,,Auction,
,,"Nov 27, 2025",$48.00,$4.97,,,Auction,
,,"Dec 2, 2025",$41.00,$5.15,,,Auction,
,,"Dec 8, 2025",$181.50,$7.49,,,Auction,
,,"Dec 16, 2025",$250.00,$4.46,,,Fixed price,
1903 S Morgan Silver Dollar,116960049223,"Jan 8, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/116960049223
1903-S Morgan U.S. silver dollar. VG-Fine. #ek1,116994107800,"Jan 28, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116994107800
1903 S Morgan Silver Dollar,116999399332,"Jan 31, 2026",$79.00,$5.07,,,Auction,https://www.ebay.com/itm/116999399332
1903 S Morgan Silver Dollar,117013420954,"Feb 8, 2026",$202.49,$0.00,,,Auction,https://www.ebay.com/itm/117013420954
1903-S G 04 Micro S San Francisco Mint Semi-Key date PCGS Morgan Silver Dollar,117063256238,"Mar 7, 2026",$199.95,$5.50,,,Auction,https://www.ebay.com/itm/117063256238
1903 S Morgan Dollar NGC VG 8,117065093991,"Mar 7, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117065093991
1903 S Morgan Silver Dollar Circ. (M121),117066815688,"Mar 7, 2026",$75.00,$5.30,,,Auction,https://www.ebay.com/itm/117066815688
1903-S Silver Morgan Dollar “Key Date” RARE 1903-S,117094732454,"Mar 23, 2026",$133.53,$6.99,,,Auction,https://www.ebay.com/itm/117094732454
1903-S Morgan Silver Dollar Coin XF / AU Details Cleaned Nice Coin See 7867,117104779076,"Mar 28, 2026",$269.99,$5.00,,,Auction,https://www.ebay.com/itm/117104779076
"Morgan Silver Dollar Lot Of 4! No Reserve! 1903-P, 1900-O, 1891-S And 1894-O",117117115751,"Apr 2, 2026",$217.50,$5.39,,,Auction,https://www.ebay.com/itm/117117115751
"1903-S MORGAN SILVER DOLLAR 1$ ""TOUGHER COIN"" *NGC VG8 VERY GOOD*",125271265423,"Mar 31, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/125271265423
1903 S Morgan Silver Dollar,125976221623,"Jan 29, 2026",$88.00,$7.95,,,Fixed price,https://www.ebay.com/itm/125976221623
,,"Nov 13, 2025",$110.00,$8.35,,,Fixed price,
,,"Jan 5, 2026",$125.00,$0.00,,,Fixed price,
1903-S Morgan Silver $1 One Dollar RC709,126827783926,"Jan 14, 2026",$60.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126827783926
,,"Dec 20, 2025",$225.00,$5.00,,,Fixed price,
1903-S Morgan Silver One Dollar Coin Scarce Date,126917758772,"Jan 24, 2026",$79.99,$3.95,,,Fixed price,https://www.ebay.com/itm/126917758772
,,"Dec 28, 2025",$154.98,$0.00,,,Fixed price,
1903 S Morgan Silver Dollar #112,127126376305,"Jan 29, 2026",$81.69,$4.99,,,Fixed price,https://www.ebay.com/itm/127126376305
1903-S MORGAN SILVER DOLLAR RARE MICRO-S VAM-2 *TOP-100 MORGAN!* EF/AU (M048),127135207005,"Jan 31, 2026","$1,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127135207005
,,"Oct 28, 2025",$160.00,$0.00,,,Fixed price,
,,"Dec 28, 2025",$75.00,$4.92,,,Fixed price,
,,"Dec 29, 2025",$65.65,$0.00,,,Fixed price,
1903-S U.S. $1 Morgan Silver Dollar ~ San Francisco ~ 90% Silver Coin PJ,127376339629,"Jan 19, 2026",$94.30,$0.00,,,Fixed price,https://www.ebay.com/itm/127376339629
1903 S MORGAN SILVER DOLLAR $1 ICG CERTIFIED EF 40 EXTRA FINE (301),127406753529,"Mar 15, 2026",$599.96,$0.00,,,Fixed price,https://www.ebay.com/itm/127406753529
,,"Oct 17, 2025",$40.00,$7.00,,,Auction,
,,"Oct 20, 2025",$174.95,$0.00,,,Fixed price,
1903-S MORGAN DOLLAR VF DETAILS KEY DATE KD,127439218211,"Jan 19, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127439218211
