Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1927 D Standing Liberty Quarter. 90% Silver,117272112899,"Jun 27, 2026",$15.99,$1.03,,,Fixed price,https://www.ebay.com/itm/117272112899,1
,,"Jun 24, 2026",$186.00,$0.00,,,Auction,,1
1927-D Standing Liberty Silver Quarter XF E318 UAWMB,147383555678,"Jun 18, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147383555678,1
1927-D Standing Liberty Quarter F12 ANACS a6054,127903985055,"Jun 10, 2026",$44.00,$0.00,,,Auction,https://www.ebay.com/itm/127903985055,1
1927 D Standing Liberty Quarter,147347754618,"Jun 9, 2026",$15.10,$3.99,,,Auction,https://www.ebay.com/itm/147347754618,1
1927-D Standing Liberty Quarter,117222179197,"Jun 5, 2026",$350.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117222179197,1
Better 1927-D US Standing Liberty 90% Silver Quarter Coin Set Break *398,127873673552,"May 26, 2026",$17.51,$0.00,,,Auction,https://www.ebay.com/itm/127873673552,1
1927 D Standing Liberty Quarter FINE +,147307715372,"May 23, 2026",$13.83,$0.05,,,Auction,https://www.ebay.com/itm/147307715372,1
1927-D 25C Standing Liberty Quarter,147323378280,"May 21, 2026",$19.99,$1.32,,,Fixed price,https://www.ebay.com/itm/147323378280,1
* 1927-D FH * SUPERB+ GEM BU MS STANDING LIBERTY QUARTER * FROM COLLECTION,157881574723,"May 10, 2026",$636.26,$4.99,,,Auction,https://www.ebay.com/itm/157881574723,1
1927 D STANDING LIBERTY QUARTER - VG - SEE PICS! - (N4734),152320698647,"May 9, 2026",$23.00,$0.00,,,Fixed price,https://www.ebay.com/itm/152320698647,1
1927 D Standing Liberty 25c Quarter 90% Silver,117008070946,"May 8, 2026",$25.00,$5.72,,,Fixed price,https://www.ebay.com/itm/117008070946,1
1927-D Standing Liberty Quarter 25 Cents R2015,127852340832,"May 7, 2026",$330.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127852340832,1
"1927-D Standing Liberty Quarter, Good Grade",157740629748,"May 3, 2026",$30.95,$2.95,,,Fixed price,https://www.ebay.com/itm/157740629748,1
1927-D Standing Liberty Silver Quarter FINE E361 SYCB,137234354072,"Apr 27, 2026",$43.23,$0.00,,,Fixed price,https://www.ebay.com/itm/137234354072,1
1927-D 25C Standing Liberty Quarter (89587),366363140315,"Apr 25, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366363140315,1
1927-D Standing Liberty Quarter Almost Good AG Coin #38488,397813910432,"Apr 24, 2026",$17.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397813910432,1
1927-D Standing Liberty Quarter - 90% Silver Nice Eye Appeal Rare Key Date Fr Sh,206187655807,"Apr 24, 2026",$89.99,$0.00,,,Auction,https://www.ebay.com/itm/206187655807,1
1927-D Standing Liberty Quarter 25c 90% Silver Ungraded Circulated,178060186045,"Apr 23, 2026",$16.00,$5.00,,,Auction,https://www.ebay.com/itm/178060186045,1
1927-D Standing Liberty Quarter Very Good VG Coin #38487,397813910362,"Apr 23, 2026",$27.50,$0.00,,,Fixed price,https://www.ebay.com/itm/397813910362,1
1927 D Standing Liberty Quarter 25C Silver Circulated Denver Uncertified,257460563600,"Apr 23, 2026",$6.05,$5.20,,,Auction,https://www.ebay.com/itm/257460563600,1
1927-D Standing Liberty Quarter 25c - XF - nice toning.,366233231303,"Apr 23, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366233231303,1
1927 d standing liberty quarter,389514885320,"Apr 22, 2026",$23.05,$5.07,,,Fixed price,https://www.ebay.com/itm/389514885320,1
1927-D Standing Liberty Silver Quarter FINE E362 JUCB,366352589158,"Apr 22, 2026",$45.50,$0.00,,,Fixed price,https://www.ebay.com/itm/366352589158,1
"Very good--1927-D Standing Liberty Quarter, Avidly Pursued Choice",178057328821,"Apr 21, 2026",$19.00,$9.99,,,Fixed price,https://www.ebay.com/itm/178057328821,2
1927-d Denver Standing Liberty Quarter 25c 90% Silver Coin,277889026276,"Apr 21, 2026",$24.99,$1.00,,,Fixed price,https://www.ebay.com/itm/277889026276,1
1927-D Standing Liberty Quarter 25c PCGS XF45,377037622159,"Apr 20, 2026",$272.85,$0.00,,,Fixed price,https://www.ebay.com/itm/377037622159,1
"1927 D SILVER STANDING LIBERTY QUARTER 25¢ 99-Year-Old Coin, 976K Minted",227305530205,"Apr 20, 2026",$16.00,$1.78,,,Fixed price,https://www.ebay.com/itm/227305530205,1
1927-D Standing Liberty Quarter F12 ICG *6093,366347732396,"Apr 19, 2026",$49.95,$0.00,,,Fixed price,https://www.ebay.com/itm/366347732396,1
1927 D Standing Liberty Quarter - Good Condition - MM54,366343231083,"Apr 19, 2026",$15.50,$0.61,,,Auction,https://www.ebay.com/itm/366343231083,1
"1927-d Standing Liberty Quarter , VF. better date and grade",236755251740,"Apr 19, 2026",$80.00,$5.99,,,Fixed price,https://www.ebay.com/itm/236755251740,1
1927-D Standing Liberty Quarter,376957697031,"Apr 19, 2026",$33.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376957697031,1
1927 D Standing Liberty Quarter ($.25). Estimated Very Good 8. A0970.,227290945804,"Apr 19, 2026",$16.50,$5.07,,,Auction,https://www.ebay.com/itm/227290945804,1
"1927 D Standing Liberty Silver Quarter, Low Mintage, (27DAC1)",234633471261,"Apr 18, 2026",$20.00,$1.25,,,Fixed price,https://www.ebay.com/itm/234633471261,1
1927-d Standing Liberty Quarter. High Grade (Inventory A),366163965777,"Apr 18, 2026",$29.00,$4.99,,,Fixed price,https://www.ebay.com/itm/366163965777,1
1927 D BETTER DATE STANDING LIBERTY QUARTER In VERY FINE ++ Condition XX688,277843177053,"Apr 18, 2026",$43.00,$7.00,,,Fixed price,https://www.ebay.com/itm/277843177053,1
1927-D Denver Mint Silver Standing Liberty Quarter,358433761141,"Apr 17, 2026",$24.49,$8.37,,,Auction,https://www.ebay.com/itm/358433761141,1
1927-D VG Standing Liberty Quarter (AD6),295058608581,"Apr 17, 2026",$15.99,$4.90,,,Fixed price,https://www.ebay.com/itm/295058608581,1
1927 D U.S. Quarter - Silver 90% - Standing Liberty,168298295151,"Apr 16, 2026",$7.01,$1.00,,,Auction,https://www.ebay.com/itm/168298295151,1
"1926-D, 1926-S, 4x 1927-D Standing Liberty Quarters SLQ 25c 28227",256417966622,"Apr 15, 2026",$79.99,$9.99,,,Fixed price,https://www.ebay.com/itm/256417966622,1
1927-D Denver Mint Silver Standing Liberty Quarter,358422690326,"Apr 14, 2026",$15.50,$2.37,,,Auction,https://www.ebay.com/itm/358422690326,1
1927-D Liberty Standing Quarter AG **Only 976k Minted** LOWEST PRICE,318111683258,"Apr 14, 2026",$18.95,$0.99,,,Fixed price,https://www.ebay.com/itm/318111683258,1
1927 D 25C Standing Liberty Quarter,198263209113,"Apr 14, 2026",$11.50,$0.74,,,Auction,https://www.ebay.com/itm/198263209113,1
1927-D Standing Liberty Quarter Silver ---- Nice Coin ---- #KK648,277868891931,"Apr 13, 2026",$28.50,$3.95,,,Fixed price,https://www.ebay.com/itm/277868891931,1
1927 D STANDING LIBERTY QUARTER PCGS MS64,298133959194,"Apr 12, 2026",$658.00,$8.00,,,Fixed price,https://www.ebay.com/itm/298133959194,1
1927-D STANDING LIBERTY SILVER QUARTER ~ GOOD ~ NICE COIN ~ 90% SILVER,358404365726,"Apr 12, 2026",$9.25,$0.50,,,Auction,https://www.ebay.com/itm/358404365726,1
1927 D Standing Liberty Quarter - Circulated Condition - MM15,366329261434,"Apr 12, 2026",$12.51,$2.99,,,Auction,https://www.ebay.com/itm/366329261434,1
