Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Mar 7, 2026",$63.90,$0.00,,,Fixed price,
VG/F 1899-S Morgan Silver Dollar,135244733136,"Dec 31, 2025",$47.73,$0.00,,,Fixed price,https://www.ebay.com/itm/135244733136
,,"Nov 19, 2025",$36.94,$0.00,,,Fixed price,
[Removed] Item 236625608171,236625608171,"Mar 20, 2026",$61.33,$0.00,,,Fixed price,
,,"Feb 3, 2026",$84.50,$0.00,,,Fixed price,
[Removed] Item 136602603246,136602603246,"Oct 22, 2025",$37.14,$0.00,,,Fixed price,
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318016666941,"Apr 7, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318016666941
,,"Nov 7, 2025",$31.99,$5.00,,,Fixed price,
G/VG 1899-S Morgan Silver Dollar (1 coin),365064395941,"Dec 17, 2025",$48.13,$0.00,,,Fixed price,https://www.ebay.com/itm/365064395941
ANACS VG 8 Details 1899-S Morgan Silver Dollar San Francisco Mint,116141061726,"Jan 14, 2026",$58.95,$6.35,,,Fixed price,https://www.ebay.com/itm/116141061726
,,"Nov 30, 2025",$343.00,$15.00,,,Fixed price,
1899 S Morgan Silver Dollar,116419527098,"Jan 12, 2026",$55.00,$5.15,,,Fixed price,https://www.ebay.com/itm/116419527098
,,"Jan 2, 2026",$85.00,$4.00,,,Fixed price,
,,"Nov 30, 2025",$80.00,$0.00,,,Fixed price,
,,"Nov 13, 2025",$70.00,$5.16,,,Auction,
,,"Dec 14, 2025","$1,280.55",$12.16,,,Auction,
,,"Dec 31, 2025",$77.00,$0.00,,,Auction,
1899-S $1 MORGAN SILVER DOLLAR ✪ AU ALMOST UNC ✪ SCARCE DATE COIN,116971195288,"Jan 8, 2026",$165.00,$5.15,,,Fixed price,https://www.ebay.com/itm/116971195288
1899 S $1 Morgan Silver Dollar NGC AU50,116978850884,"Jan 18, 2026",$271.00,$0.00,,,Auction,https://www.ebay.com/itm/116978850884
1899 S Morgan Silver Dollar NGC AU-55,117028964139,"Feb 14, 2026",$305.00,$5.00,,,Auction,https://www.ebay.com/itm/117028964139
1899 S $1 Morgan Silver Dollar - NGC XF40 - Better Date - Nicely Toned,117054397345,"Apr 3, 2026",$166.50,$5.52,,,Fixed price,https://www.ebay.com/itm/117054397345
Lot of 2 – 1899-O & 1882-S Morgan Silver Dollars – 90% Silver – Circulated,117062579157,"Mar 5, 2026",$137.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117062579157
"1878 S BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST, ""Overland Mail""",117084361118,"Mar 13, 2026",$189.99,$6.95,,,Fixed price,https://www.ebay.com/itm/117084361118
,,"Jan 6, 2026",$575.00,$0.00,,,Fixed price,
1899 S $1 Morgan Silver Dollar Cleaned,127296721377,"Jan 13, 2026",$94.00,$4.99,,,Fixed price,https://www.ebay.com/itm/127296721377
,,"Dec 19, 2025",$323.99,$7.50,,,Fixed price,
,,"Nov 15, 2025",$80.00,$0.00,,,Fixed price,
,,"Dec 14, 2025",$77.00,$0.00,,,Fixed price,
,,"Oct 12, 2025",$201.00,$0.00,,,Auction,
,,"Oct 14, 2025",$53.00,$4.87,,,Auction,
,,"Oct 22, 2025",$101.76,$0.00,,,Auction,
,,"Dec 26, 2025",$59.99,$0.00,,,Fixed price,
,,"Oct 29, 2025",$47.00,$0.00,,,Auction,
,,"Oct 29, 2025",$42.95,$0.00,,,Auction,
,,"Nov 9, 2025",$159.99,$7.50,,,Auction,
,,"Nov 21, 2025",$265.00,$0.00,,,Fixed price,
,,"Nov 15, 2025",$102.00,$5.95,,,Auction,
,,"Nov 29, 2025",$43.99,$0.00,,,Auction,
,,"Nov 29, 2025",$51.00,$0.00,,,Auction,
,,"Dec 1, 2025",$47.95,$0.00,,,Auction,
,,"Dec 3, 2025",$42.95,$0.00,,,Auction,
,,"Dec 7, 2025",$47.95,$0.00,,,Auction,
,,"Dec 12, 2025",$46.95,$0.00,,,Auction,
,,"Dec 16, 2025",$47.00,$4.39,,,Auction,
1899-S $1 Morgan Silver Dollar ICG VF20 ~,127554875647,"Mar 21, 2026",$90.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127554875647
,,"Dec 20, 2025",$46.95,$0.00,,,Auction,
,,"Dec 29, 2025",$84.95,$0.00,,,Auction,
,,"Jan 4, 2026",$53.05,$4.99,,,Auction,
,,"Dec 28, 2025",$258.50,$5.95,,,Auction,
G/VG 1899-S Morgan Silver Dollar (1 coin) *5225,127597909980,"Jan 8, 2026",$60.00,$0.00,,,Auction,https://www.ebay.com/itm/127597909980
