Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1878-1904 SILVER MORGAN DOLLAR $10 ROLL SALE AU-BU P,O,CC SET LIQUIDATION OBW",365627505224,"Mar 30, 2026",$812.40,$0.00,,,Fixed price,https://www.ebay.com/itm/365627505224
[Removed] Item 397733766261,397733766261,"Mar 20, 2026",$239.56,$0.00,,,Fixed price,
Unopened Sealed GSA Silver CC Morgan Carson City Dollar $1 Specific Year Unknown,287184209182,"Mar 19, 2026",$499.95,$11.60,,,Fixed price,https://www.ebay.com/itm/287184209182
* 1878-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709654795,"Mar 31, 2026",$679.95,$0.00,,,Fixed price,https://www.ebay.com/itm/164709654795
"1878-1904 Morgan Dollar Roll Gem BU UNCIRCULATED 20 Coins S, O, CC Bullion",365823450528,"Apr 3, 2026","$1,936.00",$0.00,,,Fixed price,https://www.ebay.com/itm/365823450528
GSA Black Box & COA for 1878-CC Morgan Silver Dollar - Empty No Carson City Coin,117006435072,"Mar 20, 2026",$67.48,$0.00,,,Fixed price,https://www.ebay.com/itm/117006435072
Unopened Sealed GSA Silver CC Morgan Carson City Dollar $1 Specific Year Unknown,287235838112,"Apr 4, 2026",$499.95,$9.95,,,Fixed price,https://www.ebay.com/itm/287235838112
1878-CC U.S. 90% Silver Morgan $1 Dollar - Very Fine -Some Obverse Abrasions,116641809666,"Mar 8, 2026",$235.00,$7.95,,,Fixed price,https://www.ebay.com/itm/116641809666
"** U.S. 1878 CC , MORGAN SILVER DOLLAR **",117062262473,"Mar 7, 2026",$267.00,$7.95,,,Auction,https://www.ebay.com/itm/117062262473
1878-CC Morgan Silver Dollar (cn16449),117070131438,"Mar 15, 2026",$175.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117070131438
1878-CC Morgan Silver Dollar,117070237279,"Mar 9, 2026",$154.29,$4.50,,,Auction,https://www.ebay.com/itm/117070237279
1878-CC Morgan Silver Dollar Carson City,117071584573,"Mar 12, 2026",$457.00,$5.00,,,Auction,https://www.ebay.com/itm/117071584573
"1878-CC Morgan Silver Dollar ""G""",117072014412,"Mar 6, 2026",$129.00,$5.07,,,Fixed price,https://www.ebay.com/itm/117072014412
1878-CC Morgan Silver Dollar GSA Soft Pack,117075540047,"Mar 17, 2026",$710.00,$0.00,,,Auction,https://www.ebay.com/itm/117075540047
1878 Carson City (CC) Morgan Silver Dollar,117094672019,"Mar 28, 2026",$330.00,$0.00,,,Auction,https://www.ebay.com/itm/117094672019
1878-CC (Carson City) Morgan Silver Dollar,117094675594,"Mar 28, 2026",$142.50,$0.00,,,Auction,https://www.ebay.com/itm/117094675594
1878 CC CARSON CITY MORGAN SILVER DOLLAR FIRST YEAR ISSUE,117099101757,"Mar 22, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117099101757
1878 CC $1 Morgan Silver Dollar NGC MS61 Carson City,117100866481,"Mar 28, 2026",$405.00,$0.00,,,Auction,https://www.ebay.com/itm/117100866481
1878 CC Morgan Silver Dollar NGC Brilliant Uncirculated,117102433104,"Mar 27, 2026",$411.00,$8.10,,,Auction,https://www.ebay.com/itm/117102433104
1878-CC Rainbow Toned Morgan Dollar NGC MS62 1878-CC RARE,117108344200,"Mar 30, 2026",$610.00,$7.49,,,Auction,https://www.ebay.com/itm/117108344200
1878-CC MORGAN SILVER DOLLAR SEMI-PROOFLIKE GEM++ (M236),127221548341,"Mar 8, 2026",$875.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127221548341
1878-CC Morgan Silver One $1 Dollar - Carson City R1723,127619980343,"Mar 11, 2026",$245.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127619980343
1878-CC Morgan Dollar,127710490448,"Mar 9, 2026",$160.00,$9.50,,,Auction,https://www.ebay.com/itm/127710490448
1878-CC Morgan Silver Dollar AU Details,127716430148,"Mar 7, 2026",$308.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127716430148
"1878-CC PCGS MS65 Morgan Dollar Toned, Old Blue Holder.",127718837553,"Mar 14, 2026","$2,087.00",$9.00,,,Auction,https://www.ebay.com/itm/127718837553
CARSON CITY! 1878 CC Morgan Silver Dollar ~ RARE DATE ~ 90% Silver $1,127727521078,"Mar 15, 2026",$366.20,$6.75,,,Auction,https://www.ebay.com/itm/127727521078
1878-CC Uncirculated Silver Morgan Dollar America Bicentennial Packaging,127752088496,"Mar 24, 2026",$787.00,$5.00,,,Auction,https://www.ebay.com/itm/127752088496
1878-CC Circulated US Silver Morgan Dollar Coin Key Date,127765902716,"Mar 30, 2026",$208.70,$3.23,,,Auction,https://www.ebay.com/itm/127765902716
CARSON CITY! 1878 CC Morgan Silver Dollar ~ RARE DATE ~ 90% Silver $1,127766373612,"Mar 28, 2026",$289.00,$6.75,,,Auction,https://www.ebay.com/itm/127766373612
1878 CC Morgan Silver Dollar Mint State 63 Rare Carson City Uncirculated,127775258231,"Mar 27, 2026",$289.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127775258231
1878 CC Morgan Silver Dollar U.S.,127777088389,"Apr 2, 2026",$165.50,$5.00,,,Auction,https://www.ebay.com/itm/127777088389
1878-CC Morgan Silver Dollar *7835,135195035090,"Mar 27, 2026",$249.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135195035090
1878-CC Morgan Silver One $1 Dollar - Carson City #2755 As Is,136943123009,"Mar 9, 2026",$139.90,$5.52,,,Fixed price,https://www.ebay.com/itm/136943123009
1878-CC to 1885-CC & 1889-CC to 1893-CC COMPLETE CC MORGAN DOLLAR SET - 13 Coins,137006044148,"Mar 16, 2026","$3,850.00",$40.00,,,Fixed price,https://www.ebay.com/itm/137006044148
''Nice'' 1878-CC Carson City Mint Silver Morgan Dollar. C10,137128293121,"Mar 23, 2026",$588.00,$5.95,,,Auction,https://www.ebay.com/itm/137128293121
1878 CC Morgan Silver Dollar - G/AG !!,137142209066,"Mar 17, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137142209066
1878-CC Morgan Silver Dollar PCGS MS63 Beautiful Toning!,137159910487,"Mar 28, 2026",$550.00,$5.30,,,Auction,https://www.ebay.com/itm/137159910487
1878-CC Morgan Silver Dollar VF25 PCGS,137178895083,"Apr 1, 2026",$240.00,$5.89,,,Fixed price,https://www.ebay.com/itm/137178895083
1878-CC PCGS MS65+ Morgan Dollar - PCGS Gold Shield - Reverse End Roll Toning,147004022916,"Mar 20, 2026","$2,200.00",$0.00,,,Fixed price,https://www.ebay.com/itm/147004022916
"1878 CC Morgan Dollar $1 Coin Silver, Graded AU55 by PCGS",147179744629,"Mar 8, 2026",$349.99,$0.00,,,Auction,https://www.ebay.com/itm/147179744629
1878-CC Morgan Dollar $1 CARSON CITY 90% ☆ 1206 ☆ Key Date Rainbow Toned,147181953389,"Mar 8, 2026",$379.05,$4.50,,,Fixed price,https://www.ebay.com/itm/147181953389
1878-CC Morgan Silver Dollar In Uncirculated Condition.,147184787033,"Mar 7, 2026",$490.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147184787033
[Removed] Item 397169100695,397169100695,"Dec 30, 2025",$89.95,$0.00,,,Fixed price,,88
"1878-1904 SILVER MORGAN DOLLAR $10 ROLL SALE AU-BU P,O,CC SET LIQUIDATION OBW",365627505224,"Apr 9, 2026",$750.31,$41.36,,,Fixed price,https://www.ebay.com/itm/365627505224,94
,,"Nov 3, 2025",$19.45,$0.00,,,Fixed price,,65
[Removed] Item 357651027395,357651027395,"Nov 19, 2025",$88.26,$4.99,,,Fixed price,,75
[Removed] Item 397124530297,397124530297,"Jan 5, 2026",$88.26,$14.97,,,Fixed price,,75
,,"Oct 31, 2025",$61.40,$7.00,,,Fixed price,,60
[Removed] Item 397149294976,397149294976,"Nov 17, 2025",$63.85,$0.00,,,Fixed price,,74
[Removed] Item 236422433332,236422433332,"Nov 5, 2025",$35.08,$0.00,,,Fixed price,,50
[Removed] Item 197907299237,197907299237,"Dec 2, 2025",$59.09,$0.00,,,Fixed price,,59
,,"Oct 25, 2025",$75.65,$0.00,,,Fixed price,,44
[Removed] Item 357722386761,357722386761,"Oct 20, 2025",$25.57,$0.00,,,Fixed price,,50
[Removed] Item 365757543003,365757543003,"Dec 4, 2025",$25.17,$0.00,,,Fixed price,,47
[Removed] Item 365948376413,365948376413,"Nov 3, 2025",$79.99,$5.87,,,Fixed price,,40
[Removed] Item 127325285384,127325285384,"Oct 26, 2025",$87.34,$4.99,,,Fixed price,,42
,,"Nov 12, 2025",$20.38,$0.00,,,Fixed price,,44
,,"Nov 13, 2025",$19.40,$0.00,,,Fixed price,,32
[Removed] Item 197836374895,197836374895,"Nov 26, 2025",$57.66,$0.00,,,Fixed price,,46
Empty 1878-1891-CC GSA Morgan Silver Dollar BLACK BOX w/ Special Card - NO COIN,123989677591,"Apr 9, 2026",$18.09,$0.00,,,Fixed price,https://www.ebay.com/itm/123989677591,32
[Removed] Item 406569293208,406569293208,"Jan 20, 2026",$18.69,$0.00,,,Fixed price,,32
[Removed] Item 365753971550,365753971550,"Dec 10, 2025",$82.09,$0.00,,,Fixed price,,26
,,"Oct 25, 2025",$69.99,$0.00,,,Fixed price,,29
1878-1904 Morgan Silver Dollar Roll of 20 Coins Gem BU CC & CC Ends Collection,365390816937,"Apr 8, 2026","$2,421.29",$0.00,,,Fixed price,https://www.ebay.com/itm/365390816937,24
"1878-1904 Morgan Dollar Roll Gem BU UNCIRCULATED 20 Coins S, O, CC Bullion",365823450528,"Apr 13, 2026","$1,897.38",$0.00,,,Fixed price,https://www.ebay.com/itm/365823450528,24
,,"Oct 22, 2025",$84.70,$0.00,,,Fixed price,,27
"1878-1904 Uncirculated Morgan Dollar Roll 10 Coins CC & S End, Gem BU Collection",365501397734,"Apr 2, 2026","$1,290.32",$59.01,,,Fixed price,https://www.ebay.com/itm/365501397734,22
[Removed] Item 376663138592,376663138592,"Nov 23, 2025",$58.12,$0.00,,,Fixed price,,38
,,"Oct 26, 2025",$84.39,$0.00,,,Fixed price,,27
[Removed] Item 376535306533,376535306533,"Oct 24, 2025",$26.12,$0.00,,,Fixed price,,53
[Removed] Item 389234562141,389234562141,"Nov 22, 2025",$62.18,$0.00,,,Fixed price,,39
,,"Nov 9, 2025",$58.06,$0.00,,,Fixed price,,29
[Removed] Item 297757843345,297757843345,"Dec 5, 2025",$19.70,$0.00,,,Fixed price,,25
[Removed] Item 357946090514,357946090514,"Dec 5, 2025",$88.26,$0.00,,,Fixed price,,21
,,"Nov 3, 2025",$25.60,$0.00,,,Fixed price,,20
[Removed] Item 136657848326,136657848326,"Dec 2, 2025",$84.59,$0.00,,,Fixed price,,19
[Removed] Item 297702930454,297702930454,"Oct 24, 2025",$22.40,$0.00,,,Fixed price,,20
[Removed] Item 406349141172,406349141172,"Nov 10, 2025",$79.99,$5.58,,,Fixed price,,19
,,"Oct 16, 2025",$89.26,$0.00,,,Fixed price,,18
,,"Nov 10, 2025",$53.37,$0.00,,,Fixed price,,24
,,"Nov 11, 2025",$23.02,$0.00,,,Fixed price,,16
[Removed] Item 286871419372,286871419372,"Nov 1, 2025",$69.80,$19.36,,,Fixed price,,31
[Removed] Item 357655664399,357655664399,"Nov 19, 2025",$88.16,$0.00,,,Fixed price,,31
,,"Nov 9, 2025",$57.35,$0.00,,,Fixed price,,28
,,"Nov 25, 2025",$22.63,$0.00,,,Fixed price,,22
,,"Nov 14, 2025",$34.51,$0.00,,,Fixed price,,18
,,"Nov 4, 2025",$58.50,$0.00,,,Fixed price,,29
* 1878-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709654795,"Mar 31, 2026",$675.67,$38.01,,,Fixed price,https://www.ebay.com/itm/164709654795,14
[Removed] Item 389234561663,389234561663,"Dec 1, 2025",$19.34,$0.00,,,Fixed price,,27
[Removed] Item 389440320099,389440320099,"Jan 6, 2026",$20.94,$0.00,,,Fixed price,,14
,,"Nov 25, 2025",$139.00,$0.00,,,Fixed price,,19
[Removed] Item 376709983729,376709983729,"Nov 25, 2025",$68.56,$0.00,,,Fixed price,,16
,,"Nov 17, 2025",$83.46,$0.00,,,Fixed price,,19
[Removed] Item 406297539242,406297539242,"Dec 2, 2025",$21.38,$0.00,,,Fixed price,,23
[Removed] Item 167939900067,167939900067,"Nov 24, 2025",$53.86,$0.00,,,Fixed price,,23
[Removed] Item 286871434084,286871434084,"Nov 3, 2025",$55.58,$9.99,,,Fixed price,,12
[Removed] Item 357888239358,357888239358,"Nov 24, 2025",$78.99,$5.41,,,Fixed price,,13
[Removed] Item 406268189596,406268189596,"Oct 22, 2025",$79.99,$5.41,,,Fixed price,,13
1878 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),136312719514,"Apr 6, 2026",$48.52,$16.86,,,Fixed price,https://www.ebay.com/itm/136312719514,22
,,"Nov 11, 2025",$81.80,$0.00,,,Fixed price,,11
[Removed] Item 286871560464,286871560464,"Nov 15, 2025",$28.02,$0.00,,,Fixed price,,11
,,"Dec 25, 2025",$432.99,$9.95,,,Fixed price,,13
[Removed] Item 357710506225,357710506225,"Oct 22, 2025",$74.99,$5.45,,,Fixed price,,12
,,"Oct 23, 2025",$78.16,$0.00,,,Fixed price,,15
,,"Nov 10, 2025",$85.61,$0.00,,,Fixed price,,15
,,"Oct 31, 2025",$68.22,$0.00,,,Fixed price,,16
,,"Nov 11, 2025",$19.72,$0.00,,,Fixed price,,11
[Removed] Item 357793286361,357793286361,"Nov 11, 2025",$68.36,$0.00,,,Fixed price,,11
[Removed] Item 406323717912,406323717912,"Oct 27, 2025",$79.99,$4.99,,,Fixed price,,10
,,"Nov 22, 2025",$20.48,$0.00,,,Fixed price,,17
,,"Oct 22, 2025",$85.72,$0.00,,,Fixed price,,12
,,"Nov 6, 2025",$89.15,$9.98,,,Fixed price,,11
,,"Nov 16, 2025",$50.00,$0.00,,,Fixed price,,11
,,"Nov 22, 2025",$89.95,$0.00,,,Fixed price,,10
,,"Nov 5, 2025",$85.66,$0.00,,,Fixed price,,9
[Removed] Item 406333492996,406333492996,"Nov 5, 2025",$65.19,$0.00,,,Fixed price,,10
