Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 197747641050,197747641050,"Nov 7, 2025",$19.99,$0.00,,,Fixed price,
VG/F 1885-S Morgan Silver Dollar (1 coin),126671178787,"Dec 12, 2025",$49.68,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178787
,,"Nov 10, 2025",$24.92,$0.00,,,Fixed price,
[Removed] Item 127454893238,127454893238,"Dec 1, 2025",$19.99,$0.00,,,Fixed price,
G/VG 1885-S Morgan Silver Dollar (1 coin),135241361794,"Jan 10, 2026",$57.97,$0.00,,,Fixed price,https://www.ebay.com/itm/135241361794
VF 1885-S Morgan Silver Dollar (1 coin),135244734432,"Jan 27, 2026",$66.62,$4.81,,,Fixed price,https://www.ebay.com/itm/135244734432
,,"Dec 29, 2025",$79.95,$0.00,,,Fixed price,
2023 Fiji S$1 1885-CC Morgan Dollar NGC MS70 - David Ryder Signed - 99.9% Silver,397123732320,"Mar 10, 2026",$146.67,$5.37,,,Fixed price,https://www.ebay.com/itm/397123732320
,,"Nov 1, 2025",$19.33,$0.00,,,Fixed price,
XF 1885-S Morgan Silver Dollar (1 coin),365631495919,"Jan 24, 2026",$87.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365631495919
,,"Nov 10, 2025",$17.50,$8.00,,,Fixed price,
1885-O $1 Morgan Silver Dollar Gem Mint Brilliant w/ Toning Free S/H *2850,112908492782,"Jan 12, 2026",$69.95,$0.00,,,Fixed price,https://www.ebay.com/itm/112908492782
1885-S MORGAN SILVER DOLLAR #8081223-50W,115895791398,"Feb 28, 2026",$128.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115895791398
,,"Oct 18, 2025",$765.00,$0.00,,,Auction,
,,"Nov 7, 2025",$185.00,$0.00,,,Fixed price,
,,"Oct 27, 2025",$219.00,$0.00,,,Fixed price,
,,"Oct 27, 2025",$269.00,$0.00,,,Fixed price,
,,"Oct 27, 2025",$219.00,$0.00,,,Fixed price,
,,"Nov 23, 2025",$151.38,$6.59,,,Auction,
,,"Nov 29, 2025",$146.50,$4.99,,,Auction,
,,"Nov 29, 2025",$158.00,$4.00,,,Auction,
1885 S Morgan Silver Dollar PCGS AU58,116905002009,"Jan 22, 2026",$320.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116905002009
,,"Dec 15, 2025",$132.50,$5.26,,,Auction,
1885 S $1 Morgan Silver Dollar NGC AU53,116977084645,"Jan 17, 2026",$160.66,$0.00,,,Auction,https://www.ebay.com/itm/116977084645
"Three (3) Vintage 90% SILVER Morgan Dollar - CIRULATED - 1884-O, 1885-P, 1921-S",117015193195,"Feb 11, 2026",$181.00,$5.50,,,Auction,https://www.ebay.com/itm/117015193195
1885-S Morgan Silver Dollar XF++ (cn16120),117028640060,"Feb 9, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117028640060
1885-S MORGAN SILVER DOLLAR BRILLIANT UNCIRCULATED CARTWHEEL LUSTER KEY DATE,117032013000,"Feb 18, 2026",$290.50,$5.52,,,Auction,https://www.ebay.com/itm/117032013000
"Set of 5 - Morgan Silver Dollars $1 - 1882, 1883-S, 1884, 1885, 1886-O",117077354398,"Mar 15, 2026",$400.00,$12.51,,,Auction,https://www.ebay.com/itm/117077354398
1885 S Morgan Silver Dollar - XF !!,117087981601,"Mar 20, 2026",$119.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117087981601
1885-S Morgan Silver Dollar Almost Uncirculated 55,117114317140,"Apr 1, 2026",$78.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117114317140
,,"Nov 13, 2025",$38.75,$4.95,,,Fixed price,
,,"Jan 3, 2026",$66.00,$8.40,,,Fixed price,
1885 S Morgan Silver Dollar,125573775012,"Jan 10, 2026",$77.00,$8.40,,,Fixed price,https://www.ebay.com/itm/125573775012
1885-S Morgan Silver Dollar | Better Date - Very Fine Details *1169,125767648225,"Jan 27, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/125767648225
,,"Jan 1, 2026",$140.00,$0.00,,,Fixed price,
,,"Dec 29, 2025",$849.00,$0.00,,,Fixed price,
1885-S MORGAN SILVER DOLLAR $1 *PCGS AU50 ABOUT UNCIRCULATED* LOWER MINTAGE,126974945319,"Feb 2, 2026",$189.95,$4.99,,,Fixed price,https://www.ebay.com/itm/126974945319
1885-S Morgan Silver Dollar VAM 6 S/S Top 100 VG10 PCGS *7045,127029545437,"Jan 18, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127029545437
,,"Nov 23, 2025",$399.00,$0.00,,,Fixed price,
"1885-S Morgan Silver Dollar Silver Coin, Scarce This Nice, Solid Gem BU++!",127309047718,"Jan 19, 2026",$327.99,$7.55,,,Fixed price,https://www.ebay.com/itm/127309047718
,,"Oct 10, 2025",$382.89,$5.00,,,Auction,
,,"Oct 26, 2025",$74.00,$4.75,,,Auction,
* 1885-S * SOLID+ BU MS MORGAN SILVER DOLLAR * KD,127438816576,"Jan 19, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127438816576
,,"Oct 26, 2025",$249.00,$0.00,,,Fixed price,
,,"Oct 31, 2025",$195.00,$9.00,,,Auction,
,,"Nov 16, 2025",$46.10,$5.00,,,Auction,
,,"Nov 12, 2025",$87.00,$5.16,,,Fixed price,
,,"Nov 13, 2025",$41.80,$0.00,,,Auction,
,,"Nov 22, 2025",$110.00,$5.00,,,Fixed price,
