Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1881 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305732367049,"Mar 29, 2026",$98.15,$0.00,,,Fixed price,https://www.ebay.com/itm/305732367049
XF 1881-O Morgan Silver Dollar (1 coin),127139093957,"Jan 6, 2026",$58.62,$0.00,,,Fixed price,https://www.ebay.com/itm/127139093957
1881 O Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365978681926,"Mar 23, 2026",$102.16,$0.00,,,Fixed price,https://www.ebay.com/itm/365978681926
BU/Unc 1881-O Morgan Silver Dollar (1 coin),363321653439,"Jan 3, 2026",$70.77,$0.00,,,Fixed price,https://www.ebay.com/itm/363321653439
AU+ 1881-O Morgan Silver Dollar (1 coin),126926594828,"Dec 30, 2025",$62.11,$0.00,,,Fixed price,https://www.ebay.com/itm/126926594828
VF 1881-O Morgan Silver Dollar (1 coin),365921549499,"Jan 7, 2026",$61.62,$0.00,,,Fixed price,https://www.ebay.com/itm/365921549499
1881 O MORGAN SILVER DOLLAR ~ ~ CHOICE BU MS UNCIRCULATED ~ FRESH FROM ROLL,256653127554,"Oct 30, 2025",$83.28,$0.00,,,Fixed price,https://www.ebay.com/itm/256653127554
1881-O Morgan Silver Dollar MS63 PCGS,294244637168,"Dec 29, 2025",$135.67,$0.00,,,Fixed price,https://www.ebay.com/itm/294244637168
VG/F 1881-O Morgan Silver Dollar (1 coin),127087150277,"Dec 18, 2025",$51.45,$0.00,,,Fixed price,https://www.ebay.com/itm/127087150277
1881-O Morgan Dollar BU Roll of 20 S$1 Coins Brilliantly Uncirculated,154650780492,"Dec 15, 2025","$1,387.50",$0.00,,,Fixed price,https://www.ebay.com/itm/154650780492
1881-O Morgan Silver Dollar – Extremely Fine45 – New Orleans Mint,157103009813,"Jan 29, 2026",$67.50,$5.27,,,Fixed price,https://www.ebay.com/itm/157103009813
1881-O Morgan Silver Dollar – NAC Mint State - Vault Stored,157668714694,"Mar 1, 2026",$92.50,$5.89,,,Fixed price,https://www.ebay.com/itm/157668714694
1881 O Morgan Silver Dollar PCGS MS 62,198149225075,"Mar 9, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198149225075
,,"Nov 8, 2025",$31.99,$5.00,,,Fixed price,
1881 O Morgan Dollar ~ UNC UNCIRCULATED ~ 90% Silver $1 US Coin Collectible,266970809678,"Nov 24, 2025",$59.95,$0.00,,,Fixed price,https://www.ebay.com/itm/266970809678
1881 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266971140672,"Dec 17, 2025",$122.45,$0.00,,,Fixed price,https://www.ebay.com/itm/266971140672
,,"Nov 14, 2025",$75.99,$0.00,,,Fixed price,
1881-O MORGAN SILVER DOLLAR FROSTY WHITE NICE RIM TONING #691318-46HH,113249680407,"Jan 11, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/113249680407
,,"Jan 2, 2026",$55.00,$6.50,,,Fixed price,
,,"Dec 3, 2025",$48.00,$0.00,,,Fixed price,
,,"Dec 4, 2025",$46.00,$0.00,,,Fixed price,
,,"Oct 9, 2025",$34.50,$8.95,,,Fixed price,
1881 O Morgan dollar ANACS AU53 *VAM 43 gouge in DOLLAR/denticle impress.* EP,116462456167,"Mar 1, 2026",$85.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116462456167
,,"Dec 1, 2025",$84.00,$4.95,,,Fixed price,
1881-O $1 Morgan Silver Dollar| USA,116683075803,"Jan 10, 2026",$65.00,$23.20,,,Fixed price,https://www.ebay.com/itm/116683075803
,,"Oct 25, 2025",$89.99,$4.95,,,Fixed price,
,,"Oct 10, 2025",$49.00,$0.43,,,Auction,
,,"Oct 15, 2025",$36.00,$4.92,,,Auction,
,,"Oct 15, 2025",$75.00,$8.00,,,Auction,
,,"Oct 15, 2025",$45.00,$4.00,,,Auction,
,,"Dec 20, 2025",$49.00,$1.43,,,Fixed price,
,,"Dec 28, 2025",$62.00,$4.87,,,Fixed price,
,,"Nov 2, 2025",$35.00,$4.00,,,Auction,
,,"Nov 8, 2025",$50.00,$2.69,,,Auction,
,,"Nov 13, 2025",$70.00,$5.25,,,Fixed price,
,,"Nov 16, 2025",$46.88,$5.00,,,Auction,
,,"Nov 15, 2025",$110.00,$5.90,,,Auction,
,,"Nov 17, 2025",$80.00,$4.50,,,Fixed price,
,,"Nov 20, 2025",$48.00,$4.00,,,Auction,
,,"Nov 17, 2025",$140.00,$6.37,,,Auction,
,,"Nov 29, 2025",$158.50,$5.71,,,Auction,
1881 O Morgan Silver Dollar ~ *Well Struck + Nicely Toned* ~ Graded PCGS MS 63,116895120441,"Jan 19, 2026",$161.00,$5.55,,,Fixed price,https://www.ebay.com/itm/116895120441
,,"Dec 30, 2025",$62.95,$0.00,,,Fixed price,
,,"Dec 6, 2025",$38.37,$5.00,,,Auction,
,,"Dec 9, 2025",$455.00,$8.45,,,Auction,
,,"Dec 28, 2025",$145.00,$7.00,,,Fixed price,
,,"Dec 17, 2025",$55.00,$8.00,,,Fixed price,
,,"Dec 17, 2025",$54.95,$5.25,,,Fixed price,
,,"Dec 11, 2025",$73.00,$5.25,,,Fixed price,
,,"Dec 21, 2025",$41.00,$8.55,,,Auction,
