Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 136838898422,136838898422,"Feb 2, 2026",$70.89,$0.00,,,Fixed price,
[Removed] Item 236501047169,236501047169,"Jan 18, 2026",$60.01,$0.00,,,Fixed price,
[Removed] Item 397587924719,397587924719,"Feb 21, 2026",$60.45,$0.00,,,Fixed price,
,,"Nov 17, 2025",$33.71,$0.00,,,Fixed price,
,,"Nov 15, 2025",$33.99,$0.00,,,Fixed price,
XF 1879-O Morgan Silver Dollar (1 coin),365921547794,"Jan 28, 2026",$61.07,$0.00,,,Fixed price,https://www.ebay.com/itm/365921547794
[Removed] Item 376573998022,376573998022,"Nov 17, 2025",$90.72,$0.00,,,Fixed price,
[Removed] Item 406709648387,406709648387,"Mar 27, 2026",$62.49,$0.00,,,Fixed price,
VF 1879-O Morgan Silver Dollar (1 coin),135244734039,"Jan 2, 2026",$58.51,$0.00,,,Fixed price,https://www.ebay.com/itm/135244734039
,,"Nov 16, 2025",$34.22,$0.00,,,Fixed price,
,,"Jan 25, 2026",$72.39,$0.00,,,Fixed price,
,,"Oct 20, 2025",$93.03,$0.00,,,Fixed price,
[Removed] Item 365934835359,365934835359,"Oct 24, 2025",$34.45,$0.00,,,Fixed price,
VG/F 1879-O Morgan Silver Dollar (1 coin),126671178344,"Jan 24, 2026",$61.91,$0.00,,,Fixed price,https://www.ebay.com/itm/126671178344
[Removed] Item 389212163226,389212163226,"Nov 19, 2025",$92.90,$0.00,,,Fixed price,
1879 O Morgan Dollar VF Very Fine 90% Silver $1 US Coin Collectible,365683745997,"Jan 24, 2026",$79.88,$0.00,,,Fixed price,https://www.ebay.com/itm/365683745997
AU+ 1879-O Morgan Silver Dollar (1 coin),126227206194,"Mar 7, 2026",$70.70,$5.28,,,Fixed price,https://www.ebay.com/itm/126227206194
1879 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196257842619,"Apr 4, 2026",$266.67,$0.00,,,Fixed price,https://www.ebay.com/itm/196257842619
[Removed] Item 357625813476,357625813476,"Dec 7, 2025",$90.00,$0.00,,,Fixed price,
AU 1879-O MORGAN SILVER DOLLAR NICELY TONED QUALITY COLLECTOR GRADE COIN M-1764,177798782081,"Mar 31, 2026",$90.20,$5.25,,,Fixed price,https://www.ebay.com/itm/177798782081
[Removed] Item 236471722584,236471722584,"Nov 19, 2025",$99.00,$0.00,,,Fixed price,
,,"Nov 20, 2025",$35.92,$0.00,,,Fixed price,
1879-O Morgan Silver Dollar MS61 PCGS,297738925434,"Feb 18, 2026",$217.25,$0.00,,,Fixed price,https://www.ebay.com/itm/297738925434
,,"Nov 21, 2025",$47.78,$4.50,,,Fixed price,
,,"Dec 30, 2025",$350.00,$0.00,,,Fixed price,
,,"Nov 12, 2025",$50.00,$0.00,,,Fixed price,
,,"Nov 8, 2025",$27.00,$2.99,,,Fixed price,
1879 Morgan Silver Dollar San Francisco Mint American Currency 90% Silver Coin O,115325989513,"Jan 23, 2026",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/115325989513
,,"Dec 29, 2025",$60.00,$4.95,,,Fixed price,
,,"Dec 9, 2025",$54.00,$0.00,,,Fixed price,
,,"Dec 19, 2025",$225.00,$0.00,,,Fixed price,
,,"Nov 8, 2025",$115.00,$6.00,,,Fixed price,
,,"Oct 10, 2025",$123.50,$0.00,,,Fixed price,
,,"Oct 12, 2025",$69.95,$4.46,,,Auction,
,,"Oct 9, 2025",$102.00,$4.80,,,Fixed price,
,,"Oct 24, 2025",$69.95,$4.46,,,Auction,
,,"Oct 26, 2025",$43.88,$0.00,,,Auction,
,,"Dec 23, 2025",$60.00,$5.00,,,Fixed price,
,,"Dec 18, 2025",$95.00,$0.00,,,Fixed price,
,,"Nov 6, 2025",$69.95,$4.46,,,Auction,
,,"Nov 9, 2025",$39.00,$5.00,,,Auction,
,,"Nov 7, 2025",$168.50,$7.49,,,Auction,
,,"Nov 9, 2025",$73.95,$4.46,,,Auction,
,,"Jan 6, 2026",$84.95,$5.25,,,Fixed price,
,,"Nov 5, 2025",$78.95,$5.25,,,Fixed price,
,,"Nov 15, 2025",$39.35,$4.00,,,Auction,
,,"Nov 21, 2025",$567.00,$7.49,,,Auction,
,,"Nov 23, 2025",$59.00,$6.50,,,Auction,
,,"Nov 26, 2025",$105.95,$4.46,,,Auction,
,,"Nov 26, 2025",$97.95,$4.46,,,Auction,
