Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Set of 4 1890's Barber Dimes--AU Condition-1893 1893-O 1894 1897--Likely Cleaned,206244562429,"May 8, 2026",$334.00,$6.95,,,Auction,https://www.ebay.com/itm/206244562429,1
"1894-O, 1895-S, 1896-O, 1897-O, 1897-S, 1901-S, 1903-S BARBER DIME KEY DATE COIN",198324550197,"May 3, 2026",$42.50,$5.99,,,Fixed price,https://www.ebay.com/itm/198324550197,1
"8 KEY BARBER DIME 1893-O, 1894-O, 1895-S, 1896-O, 1897-O, 1901-S, 1903-S, 1904-S",117089990232,"Mar 15, 2026",$682.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117089990232
1894 Barber Dime *Free S/H After 1st Item*,317963538625,"Mar 15, 2026",$11.61,$4.95,,,Auction,https://www.ebay.com/itm/317963538625
,,"Feb 24, 2026",$100.10,$0.00,,,Fixed price,,1
,,"Feb 22, 2026",$4.25,$2.27,,,Auction,,1
,,"Feb 18, 2026",$47.60,$5.99,,,Fixed price,,1
,,"Feb 5, 2026",$60.00,$5.40,,,Fixed price,,1
,,"Jan 30, 2026",$295.00,$4.95,,,Fixed price,,1
,,"Jan 25, 2026",$11.50,$2.09,,,Auction,,1
,,"Jan 24, 2026",$79.95,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$56.52,$3.00,,,Auction,,1
,,"Dec 16, 2025",$23.82,$16.23,,,Fixed price,,1
,,"Dec 13, 2025",$42.75,$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$50.00,$0.00,,,Fixed price,,1
