Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2026 Canada Gold Maple Leaf 1/20 oz $1 - BU,376881270369,"Apr 29, 2026",$333.40,$0.00,,,Fixed price,https://www.ebay.com/itm/376881270369,65
NEW! Canada 2024 20$ SUPER INCUSE MAPLE LEAF SML Gold Plating 1 oz Silver Coin,389800753324,"Apr 29, 2026",$445.00,$105.00,,,Fixed price,https://www.ebay.com/itm/389800753324,1
2024 Canada Maple Leaf One Dollar G$1 CAD 1/20 OZ-T .9999 Fine Gold Coin Sealed,127826383646,"Apr 28, 2026",$271.00,$0.00,,,Auction,https://www.ebay.com/itm/127826383646,1
2025 Canada $1 1/20oz Gold Maple Leaf,147270357021,"Apr 28, 2026",$281.05,$0.00,,,Auction,https://www.ebay.com/itm/147270357021,1
Canada Gold Maple Leaf - 1/20 oz - $1 - .9999 Fine - Random Date,305725952655,"Apr 28, 2026",$284.51,$0.00,,,Fixed price,https://www.ebay.com/itm/305725952655,52
Canada Gold Maple Leaf - 1/2 oz - $20 - .9999 Fine - Random Date,405109769291,"Apr 26, 2026","$2,460.15",$0.00,,,Fixed price,https://www.ebay.com/itm/405109769291,90
2026 Canada 1/20 oz Gold Maple Leaf BU,127541211423,"Apr 26, 2026",$396.54,$0.00,,,Fixed price,https://www.ebay.com/itm/127541211423,8
2019 Canada Gold Maple Leaf $1 Coin ICG MS70 | 1/20 oz .9999 Fine Gold,327110578768,"Apr 25, 2026",$330.00,$5.29,,,Auction,https://www.ebay.com/itm/327110578768,1
1999 Canadian Gold 1/10 Oz Maple Leaf ( 20 Year ANS ) Privy,137254996887,"Apr 24, 2026",$515.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137254996887,1
2026 Canada Gold Maple Leaf 1/2 oz $20 - BU,406621129935,"Apr 24, 2026","$2,712.17",$0.00,,,Fixed price,https://www.ebay.com/itm/406621129935,14
2019 PF70 GOLD GILT CANADA SILVER $20 40TH ANNIV. REV PF FIRST DAY OF PRODUCTION,364506155300,"Apr 22, 2026",$375.91,$0.00,,,Fixed price,https://www.ebay.com/itm/364506155300,1
2019 $20 CANADA 1OZ SILVER INCUSE GOLD GILT MAPLE LEAF NGC REVERSE PF70 FDI,117017699824,"Apr 21, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117017699824,1
2018 Canada 1/20 oz Gold Maple Leaf BU .9999 fine. Cheapest buy it now on eBay,317960452816,"Apr 21, 2026",$319.00,$7.95,,,Fixed price,https://www.ebay.com/itm/317960452816,1
2025 Canada $1 1/20oz Gold Maple Leaf,147257165990,"Apr 20, 2026",$292.00,$0.00,,,Auction,https://www.ebay.com/itm/147257165990,1
Canada Gold Maple Leaf 1/2 oz $20 BU .9999 Fine Random Date Mint Sealed Plastic,305576693242,"Apr 20, 2026","$2,393.29",$0.00,,,Fixed price,https://www.ebay.com/itm/305576693242,8
2023 $20 Maple Leaf SML Ultra High Relief Gold Plating 1 oz Silver W/OGP,358439997008,"Apr 19, 2026",$200.00,$5.77,,,Auction,https://www.ebay.com/itm/358439997008,1
2024Canada Gold Maple Leaf $1 Coin ICG MS70 | 1/20 oz .9999 Fine Gold,327096403957,"Apr 18, 2026",$300.00,$5.07,,,Auction,https://www.ebay.com/itm/327096403957,1
1/20 oz Canadian Gold Maple Leaf Coin (Random Year),396721704419,"Apr 18, 2026",$295.87,$0.00,,,Fixed price,https://www.ebay.com/itm/396721704419,106
$20 Gold Canadian Maple Leaf .9999 1/2 oz Random Year BU,206195905540,"Apr 17, 2026","$2,569.96",$0.00,,,Fixed price,https://www.ebay.com/itm/206195905540,2
2024 Canada 1/20 oz Gold Maple Leaf BU,365491597051,"Apr 16, 2026",$395.35,$0.00,,,Fixed price,https://www.ebay.com/itm/365491597051,1
2025 Canada $1 1/20oz Gold Maple Leaf,147249859128,"Apr 16, 2026",$313.00,$0.00,,,Auction,https://www.ebay.com/itm/147249859128,1
2001 Canada $1 1/20 oz Gold Maple Leaf .9999 gold coin,377089187208,"Apr 15, 2026",$299.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377089187208,1
