Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Oct 14, 2025",$23.41,$0.00,,,Fixed price,
,,"Nov 16, 2025",$26.68,$0.00,,,Fixed price,
[Removed] Item 136569523607,136569523607,"Dec 5, 2025",$22.14,$0.00,,,Fixed price,
,,"Nov 7, 2025",$22.61,$0.00,,,Fixed price,
[Removed] Item 365943894113,365943894113,"Nov 15, 2025",$27.63,$4.99,,,Fixed price,
,,"Mar 15, 2026",$26.92,$0.00,,,Fixed price,
[Removed] Item 197778269853,197778269853,"Oct 23, 2025",$28.88,$4.99,,,Fixed price,
[Removed] Item 357729062997,357729062997,"Oct 24, 2025",$19.99,$0.00,,,Fixed price,
[Removed] Item 317406039102,317406039102,"Nov 28, 2025",$18.85,$0.00,,,Fixed price,
[Removed] Item 197747641220,197747641220,"Oct 20, 2025",$19.99,$0.00,,,Fixed price,
,,"Nov 4, 2025",$19.74,$0.00,,,Fixed price,
[Removed] Item 146903457464,146903457464,"Nov 16, 2025",$23.86,$0.00,,,Fixed price,
AU+ 1888-S Morgan Silver Dollar (1 coin),135674082720,"Jan 11, 2026",$209.50,$0.00,,,Fixed price,https://www.ebay.com/itm/135674082720
[Removed] Item 167838590667,167838590667,"Nov 4, 2025",$20.75,$0.00,,,Fixed price,
Item ID 358208384986,358208384986,"Feb 20, 2026",$25.39,$0.00,,,Fixed price,https://www.ebay.com/itm/358208384986
,,"Nov 1, 2025",$222.50,$6.50,,,Auction,
,,"Nov 3, 2025",$113.00,$5.00,,,Auction,
,,"Nov 21, 2025",$95.00,$4.00,,,Fixed price,
,,"Dec 9, 2025",$455.00,$8.45,,,Auction,
,,"Dec 30, 2025",$173.50,$0.00,,,Auction,
,,"Dec 30, 2025",$104.50,$7.99,,,Auction,
,,"Dec 26, 2025",$259.99,$0.00,,,Fixed price,
1888 S Morgan Silver Dollar,116960027293,"Jan 8, 2026",$238.70,$0.00,,,Auction,https://www.ebay.com/itm/116960027293
1884 S To 1888 S MORGAN SILVER DOLLARS! Bradford 5 Coin Box Set! Nice! Rare!,116993976492,"Jan 22, 2026",$365.00,$4.00,,,Auction,https://www.ebay.com/itm/116993976492
1888 S $ 1 Morgan Silver Dollar Beautiful Eye Appeal,117003428175,"Jan 30, 2026",$191.00,$7.70,,,Auction,https://www.ebay.com/itm/117003428175
"1888-S MORGAN SILVER DOLLAR, Very Fine DETAILS",117012167822,"Feb 8, 2026",$194.48,$6.00,,,Auction,https://www.ebay.com/itm/117012167822
VERY RARE! 1888 S Morgan Silver Dollar ~ HIGH GRADE ~ 90% Silver $1,117027188071,"Feb 13, 2026",$199.00,$3.20,,,Auction,https://www.ebay.com/itm/117027188071
"1888-S Morgan Dollar, Uncertified, NR",117036170952,"Feb 21, 2026",$132.50,$4.00,,,Auction,https://www.ebay.com/itm/117036170952
1888-S NGC MS62 Morgan Silver Dollar Rare Date,117044884236,"Mar 2, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117044884236
1888 S MORGAN SILVER DOLLAR PCGS AU55,117093239768,"Mar 17, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117093239768
1888-S Morgan Silver Dollar Almost Uncirculated 58,117114757233,"Mar 31, 2026",$260.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117114757233
,,"Dec 29, 2025",$237.45,$0.00,,,Fixed price,
VF 1888-S Morgan Silver Dollar (1 coin),127087151892,"Jan 15, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127087151892
1888-S Morgan Silver One $1 Dollar - San Francisco RC831,127116374626,"Feb 4, 2026",$265.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127116374626
1888-S Morgan Silver Dollar Beautiful Tone *1946,127232508653,"Mar 29, 2026",$184.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127232508653
1888-S Morgan Silver Dollar AU About Uncirculated Almost MS BU,127376045970,"Jan 28, 2026",$239.00,$8.75,,,Fixed price,https://www.ebay.com/itm/127376045970
,,"Jan 3, 2026",$180.00,$0.00,,,Fixed price,
VG/F 1888-S Morgan Silver Dollar (1 coin),127406857064,"Oct 26, 2025",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127406857064
,,"Oct 25, 2025",$72.20,$0.64,,,Auction,
,,"Oct 25, 2025",$107.50,$1.57,,,Auction,
XF 1888-S Morgan Silver Dollar (1 coin),127431020137,"Jan 15, 2026",$219.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127431020137
,,"Oct 20, 2025",$89.99,$0.00,,,Fixed price,
,,"Oct 23, 2025",$70.89,$0.00,,,Auction,
,,"Oct 26, 2025",$275.00,$0.00,,,Fixed price,
,,"Oct 31, 2025",$350.00,$8.50,,,Auction,
,,"Dec 27, 2025",$199.00,$0.00,,,Fixed price,
,,"Nov 12, 2025",$135.00,$7.50,,,Fixed price,
1888-S PCGS AU55 Morgan Silver Dollar **Key- Date** 60449,127522135371,"Jan 10, 2026",$279.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127522135371
,,"Dec 14, 2025",$805.00,$0.00,,,Fixed price,
,,"Dec 19, 2025",$192.50,$0.00,,,Auction,
