Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
05/000011 L#336 1868 Shield Nickel (hkr),157902555773,"May 11, 2026",$175.00,$0.00,,,Auction,https://www.ebay.com/itm/157902555773,1
1868 United States Shield Nickel 5 Cent - XF / EF - Lot 1766,336537559825,"May 11, 2026",$64.00,$6.36,,,Fixed price,https://www.ebay.com/itm/336537559825,1
1868 Shield nickel #0105,267665006153,"May 10, 2026",$4.99,$1.20,,,Fixed price,https://www.ebay.com/itm/267665006153,1
1868 Shield Nickel 5c - Circulated Condition - Historic Civil War Era Type Coin,389909140779,"May 10, 2026",$14.95,$1.32,,,Fixed price,https://www.ebay.com/itm/389909140779,1
1868 Shield Nickel US 5 Cents,198319276284,"May 10, 2026",$10.50,$0.00,,,Auction,https://www.ebay.com/itm/198319276284,1
FLASH ONE CENT SALE!!! 1868 SHIELD NICKEL #112-4,318245188159,"May 10, 2026",$0.06,$3.99,,,Auction,https://www.ebay.com/itm/318245188159,1
1868 Shield Nickel VG Details Post Civil War 5 Cent Piece Damage Noted JC1780,236796573679,"May 10, 2026",$6.50,$0.74,,,Auction,https://www.ebay.com/itm/236796573679,1
Antique⌛US Phil Mint Shield Nickel 5 Cent🪙1868🪙1st US Nickel 5c🪙B,358505489637,"May 10, 2026",$3.25,$0.00,,,Auction,https://www.ebay.com/itm/358505489637,1
Antique⌛US Phil Mint Shield Nickel 5 Cent🪙1868🪙1st US Nickel 5c🪙A,358505485059,"May 10, 2026",$2.56,$0.00,,,Auction,https://www.ebay.com/itm/358505485059,1
1868 Shield Nickel 5 cent Coin,397923911459,"May 10, 2026",$9.38,$0.00,,,Auction,https://www.ebay.com/itm/397923911459,1
1867 and 1868 and 1869 Shield nickel lot *AG / G*,257488402872,"May 10, 2026",$17.76,$0.67,,,Auction,https://www.ebay.com/itm/257488402872,1
1868 Shield Nickel Coin AU Details PCGS Genuine CLEANED Coin 3795,366367770019,"May 10, 2026",$66.20,$0.00,,,Auction,https://www.ebay.com/itm/366367770019,1
1868 Shield Nickel – Without Rays Design – Circulated 5C – Early U.S. Nickel,318267254904,"May 10, 2026",$11.82,$0.00,,,Auction,https://www.ebay.com/itm/318267254904,1
Lot of 6x Mixed Date SHIELD NICKELS 5C **POPULAR TYPE COINS**,257489697753,"May 10, 2026",$20.50,$0.00,,,Auction,https://www.ebay.com/itm/257489697753,1
1868 shiled nickel ANACS XF45 *FS 903 rev '68 variety 2.5* BR,127804960812,"May 10, 2026",$110.00,$4.00,,,Fixed price,https://www.ebay.com/itm/127804960812,1
1868 Philadelphia Mint Shield Nickel,236794799977,"May 9, 2026",$10.50,$0.67,,,Auction,https://www.ebay.com/itm/236794799977,1
1868 Shield Nickel GOOD,366388044139,"May 9, 2026",$5.56,$3.75,,,Auction,https://www.ebay.com/itm/366388044139,1
1868 SHIELD NICKEL,127453921716,"May 9, 2026",$18.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127453921716,1
1868 5 Cent Shield Nickel,135296026352,"May 9, 2026",$8.10,$2.17,,,Fixed price,https://www.ebay.com/itm/135296026352,1
1868 Shield Nickel 5 Cents Good,205785018175,"May 9, 2026",$8.39,$1.25,,,Fixed price,https://www.ebay.com/itm/205785018175,1
1868 Shield Nickel 5 Cents 5C Ungraded Circulated Civil War Era US Coin CC27456,127842735033,"May 8, 2026",$14.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127842735033,1
1868 Shield Nickel Uncirculated,156706941429,"May 8, 2026",$57.00,$5.25,,,Fixed price,https://www.ebay.com/itm/156706941429,1
1868 Shield Nickel Old Green Holder Proof 64 Pcgs Ogh Only 600minted!!,187934313949,"May 8, 2026",$715.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187934313949,1
1868 Shield Nickel,157855700179,"May 7, 2026",$3.25,$8.30,,,Auction,https://www.ebay.com/itm/157855700179,1
1868 US Shield Nickel! Old US Coin!,257484341144,"May 7, 2026",$3.25,$0.74,,,Auction,https://www.ebay.com/itm/257484341144,1
"4 Shield Nickels 1866x2 - 1868 - 1869, 5C Coins",147286417726,"May 7, 2026",$19.99,$0.00,,,Auction,https://www.ebay.com/itm/147286417726,1
Attractive 1868 U.S. Shield Nickel 🇺🇸,287296940670,"May 7, 2026",$52.69,$2.71,,,Auction,https://www.ebay.com/itm/287296940670,1
1868 Philadelphia Mint Shield Nickel,358502759714,"May 6, 2026",$4.02,$4.65,,,Auction,https://www.ebay.com/itm/358502759714,1
1868 SHIELD NICKEL,206224655882,"May 6, 2026",$12.00,$1.32,,,Fixed price,https://www.ebay.com/itm/206224655882,1
"1868 Shield Nickel with F details, Nice Lower Priced Vintage Coin to collect",177070941075,"May 6, 2026",$8.10,$0.00,,,Fixed price,https://www.ebay.com/itm/177070941075,1
"X7660 1868 Shield Nickel, XF+",389933569859,"May 5, 2026",$75.00,$5.00,,,Fixed price,https://www.ebay.com/itm/389933569859,1
"4-Shield Nickels, 1868-1872-1869-1868, 5C Coins",137264018692,"May 5, 2026",$19.99,$0.00,,,Auction,https://www.ebay.com/itm/137264018692,1
1868 Shield Nickel 5 Cents 5C Ungraded Circulated Civil War Era US Coin CC29821,127842737413,"May 5, 2026",$21.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127842737413,1
1868 Shield Nickel Anacs AU 50,356105951433,"May 5, 2026",$118.00,$4.99,,,Fixed price,https://www.ebay.com/itm/356105951433,1
Attractive 1868 U.S. Shield Nickel 🇺🇸,366373009085,"May 4, 2026",$36.83,$2.17,,,Auction,https://www.ebay.com/itm/366373009085,1
"1868 Shield Nickel, PCGS VF35, 5 C",168334452315,"May 4, 2026",$62.00,$3.95,,,Auction,https://www.ebay.com/itm/168334452315,1
1868 5C SHIELD NICKEL w/o RAYS KM# 97 Grade: XF A7035,397888938866,"May 4, 2026",$12.50,$4.20,,,Auction,https://www.ebay.com/itm/397888938866,1
"1868 US Shield Nickel! FINE & ""Holed""! Old US Coin!",366373511075,"May 4, 2026",$2.26,$0.00,,,Auction,https://www.ebay.com/itm/366373511075,1
1868 Shield Nickel 5 Cents,377139229976,"May 4, 2026",$16.38,$8.30,,,Auction,https://www.ebay.com/itm/377139229976,1
1868 SHIELD NICKEL #581-4,318211547388,"May 4, 2026",$2.88,$3.99,,,Auction,https://www.ebay.com/itm/318211547388,1
1868 Shield Nickel,157853478393,"May 3, 2026",$5.50,$0.00,,,Auction,https://www.ebay.com/itm/157853478393,1
1868 Philadelphia Mint Shield Nickel,358490864873,"May 3, 2026",$6.50,$0.46,,,Auction,https://www.ebay.com/itm/358490864873,1
1868 US Shield Nickel! Holed & Plugged! Old US Coin!,257476858594,"May 3, 2026",$2.51,$0.74,,,Auction,https://www.ebay.com/itm/257476858594,1
"1868 Shield nickel, NGC MS63, very choice, fully lustrous! DavidKahnRareCoins",127797334086,"May 3, 2026",$271.86,$0.00,,,Auction,https://www.ebay.com/itm/127797334086,1
Antique⌛US Phil Mint Shield Nickel 5 Cent🪙1868🪙1st US Nickel 5c🪙,358478998971,"May 3, 2026",$3.25,$0.00,,,Auction,https://www.ebay.com/itm/358478998971,1
"""1868"" 5 Five Cent Shield NICKEL*",377148289367,"May 3, 2026",$9.99,$4.50,,,Auction,https://www.ebay.com/itm/377148289367,1
"1868 SHIELD NICKEL, ANACS AU55, OLD ORIGINAL COIN, REVERSE OF 1868",147279648229,"May 3, 2026",$155.00,$0.00,,,Auction,https://www.ebay.com/itm/147279648229,1
"1868 XF, gouge @ 12:00, Laminated Planchet Shield Nickel",236779627977,"May 2, 2026",$7.05,$0.00,,,Auction,https://www.ebay.com/itm/236779627977,1
"1868 Shield Nickel Very Fine VF Coin, Corrosion #18287",396332495212,"May 2, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/396332495212,1
1868 SHIELD NICKEL 1st US NICKEL SERIES LOWER GRADE FREE SHIPPING 🛳️,188185190992,"May 2, 2026",$10.49,$0.00,,,Fixed price,https://www.ebay.com/itm/188185190992,1
