Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
90% Silver $1 Face Value Kennedy Half Dollars 1964 JOHN F KENNEDY LOT OF 2 Coins,178055902489,"May 10, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/178055902489,1
2x 1964 Kennedy Half Dollars 90% Silver $1 Face Value,318264631685,"May 10, 2026",$45.44,$8.00,,,Auction,https://www.ebay.com/itm/318264631685,1
$10 Face Value Roll of 20 1964-D Kennedy 90% Silver Half Dollars #1 NICE!,298276925365,"May 7, 2026",$511.23,$4.67,,,Auction,https://www.ebay.com/itm/298276925365,1
FRANKLIN HALF DOLLARS LOT OF 10 COINS 1/2 ROLL $5 FACE VALUE 90% SILVER L2,147298871843,"May 7, 2026",$309.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147298871843,1
1 Roll Benjamin Franklin Half Dollar US 90% Silver $10.00 Face Value 20 Coins,406665624927,"May 7, 2026",$530.00,$13.55,,,Fixed price,https://www.ebay.com/itm/406665624927,3
90% Not Junk Silver Coins $1 Face Value (2) Uncirculated Franklin Half Dollars,389970346126,"May 4, 2026",$54.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389970346126,1
"Lot Of 9 90% Silver Coins - $1.45 Face Value-7 Dimes, 1 Quarter & 1 Half Dollar",257474954905,"May 2, 2026",$76.88,$0.00,,,Auction,https://www.ebay.com/itm/257474954905,1
90% Not Junk Silver Coins $1 Face Value (2) Uncirculated Franklin Half Dollars,389963451253,"May 2, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389963451253,1
Junk Silver $1 One Dollar Face Value 90% Silver Half Dollars Franklins,147221234366,"May 1, 2026",$53.25,$4.50,,,Fixed price,https://www.ebay.com/itm/147221234366,1
$1 Face Value 90% Silver – Half Dollar + 5 Dimes – US Constitutional Silver,377139018017,"May 1, 2026",$50.91,$0.00,,,Auction,https://www.ebay.com/itm/377139018017,1
90% Not Junk Silver Coins $1 Face Value (2) Uncirculated Franklin Half Dollars,389950974072,"Apr 30, 2026",$58.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389950974072,1
90% Not Junk Silver Coins $1 Face Value (2) Uncirculated Franklin Half Dollars,389946020244,"Apr 27, 2026",$58.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389946020244,1
90 silver half dollars Franklins 1 Roll 20-$10.face Value BU,318209004757,"Apr 27, 2026",$498.50,$10.01,,,Fixed price,https://www.ebay.com/itm/318209004757,1
$1 Face Value Half Dollar Franklins 90% Silver,327115886919,"Apr 24, 2026",$49.50,$5.89,,,Fixed price,https://www.ebay.com/itm/327115886919,1
U.S. 90% Silver Coins $1.40 Face Value Barber Half Dollar Toned Rosie Mercury,227275848810,"Apr 22, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227275848810,1
"90% Silver $1.85 Face Value 2 Half DOLLARS, 3 QUARTERS, 1 DIME.",227309926192,"Apr 21, 2026",$85.00,$5.72,,,Auction,https://www.ebay.com/itm/227309926192,1
Item ID 327100815964,327100815964,"Apr 19, 2026",$54.42,$0.00,,,Fixed price,https://www.ebay.com/itm/327100815964,33
$10 Face Value Half Dollars - Junk 90% Silver Coins - Lot 1!!!!,257463027054,"Apr 19, 2026",$470.01,$14.00,,,Auction,https://www.ebay.com/itm/257463027054,1
$1 Face Value - 90% Junk Silver U.S. Coin Lot - Half Dollars and Dimes,127715006378,"Apr 17, 2026",$62.83,$0.00,,,Fixed price,https://www.ebay.com/itm/127715006378,3
90% Not Junk Silver Coins $1 Face Value - (2) Barber Half Dollars FREE Shipping,389895549094,"Apr 17, 2026",$56.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389895549094,1
90% Silver Coin Lot of 2 Barber Half Dollars $1 Face Value Silver - No Reserve,206200233855,"Apr 16, 2026",$48.01,$0.00,,,Auction,https://www.ebay.com/itm/206200233855,1
$1 Face Value 90% Silver Kennedy Half Dollars 1964 JOHN F KENNEDY LOT OF 2 Coins,178011524771,"Apr 16, 2026",$59.99,$0.00,,,Fixed price,https://www.ebay.com/itm/178011524771,1
"$10.00 Face Value 90% Silver Dimes, Quarters & Half Dollars #1 NICE!",306865507273,"Apr 13, 2026",$447.00,$12.65,,,Auction,https://www.ebay.com/itm/306865507273,1
$1 Face Value Half Dollar Franklins 90% Silver,327094125895,"Apr 11, 2026",$54.08,$0.00,,,Fixed price,https://www.ebay.com/itm/327094125895,12
90% Not Junk Silver Coins $1 Face Value (2) Barber Half Dollars FREE SHIPPING,389860564236,"Apr 8, 2026",$63.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389860564236,1
