Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2015 Australia Lunar Year of the Goat 1/2 oz .9999 Fine Silver Coin In Capsule,235196611856,"Mar 4, 2026",$48.68,$0.00,,,Fixed price,https://www.ebay.com/itm/235196611856,81
,,"Dec 26, 2025",$40.16,$0.00,,,Fixed price,,18
,,"Jan 12, 2026",$39.81,$0.00,,,Fixed price,,40
2015 P Australia Silver Lunar Series II Year of the Goat 1/2 oz $1 - BU PERTH,297527010639,"Apr 2, 2026",$51.62,$0.00,,,Fixed price,https://www.ebay.com/itm/297527010639,11
2015 Australia 1 Ounce Silver - Year of the Goat - Lunar Series 2 - BU - STOCK,376938434112,"Mar 25, 2026",$110.50,$0.00,,,Fixed price,https://www.ebay.com/itm/376938434112,8
"**ONLY 19,847 MINTED** 2015 COLORIZED Lunar GOAT - 1/2 oz Silver Coin - Perth",286835453909,"Feb 20, 2026",$51.54,$4.99,,,Fixed price,https://www.ebay.com/itm/286835453909,8
2015 CANADA Lunar Year Of The GOAT 1/2oz .9999 Silver Proof GREATEST OF ALL TIME,297919346928,"Jan 22, 2026",$49.99,$5.25,,,Fixed price,https://www.ebay.com/itm/297919346928,6
,,"Dec 1, 2025",$29.56,$3.00,,,Fixed price,,5
2015 Australia 1/2 oz Silver Lunar Year of the Goat,127373753077,"Feb 28, 2026",$52.78,$5.25,,,Fixed price,https://www.ebay.com/itm/127373753077,6
2015 Australia 1/2 oz .999 Silver Year of the Goat BU (Series II).,147092986546,"Jan 18, 2026",$46.88,$7.74,,,Fixed price,https://www.ebay.com/itm/147092986546,3
2015 1/2 Oz Silver 50 Cents Australia LUNAR YEAR OF THE GOAT BU Coin.,168081009652,"Mar 8, 2026",$61.98,$0.00,,,Fixed price,https://www.ebay.com/itm/168081009652,2
,,"Nov 30, 2025",$33.99,$1.26,,,Fixed price,,5
,,"Dec 1, 2025",$37.32,$8.65,,,Fixed price,,3
,,"Nov 26, 2025",$50.40,$4.80,,,Fixed price,,1
,,"Nov 24, 2025",$234.00,$0.00,,,Auction,,1
,,"Nov 16, 2025",$32.50,$4.58,,,Auction,,1
,,"Nov 30, 2025",$139.50,$0.00,,,Auction,,1
,,"Dec 20, 2025",$37.00,$5.15,,,Auction,,1
,,"Dec 4, 2025",$27.00,$4.95,,,Fixed price,,1
2015 Niue Silver 1 Oz. $2 Proof Coin Year of the Goat Lunar Calendar Series,135553220674,"Jan 29, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135553220674,2
,,"Oct 19, 2025",$32.00,$2.00,,,Fixed price,,1
,,"Dec 2, 2025",$36.00,$3.99,,,Auction,,1
2015 Australia Lunar Year of the Goat 1/2 oz .999 Fine Silver,147114610855,"Jan 26, 2026",$59.00,$5.89,,,Fixed price,https://www.ebay.com/itm/147114610855,1
,,"Nov 28, 2025",$63.00,$4.25,,,Auction,,1
2015 1/2 oz .999 Fine Silver BU Perth Lunar Year of the Goat W/ Capsule,157709445796,"Mar 4, 2026",$52.77,$6.20,,,Auction,https://www.ebay.com/itm/157709445796,1
2015 $2 Niue Lunar YEAR OF THE GOAT Colored 1 Oz Silver Proof Coin.,166003983357,"Jan 14, 2026",$96.00,$0.00,,,Fixed price,https://www.ebay.com/itm/166003983357,1
,,"Nov 7, 2025",$32.00,$0.00,,,Fixed price,,1
,,"Jan 4, 2026",$52.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$34.99,$0.00,,,Fixed price,,4
2015 50c Tuvalu 1/2 oz ASW .999 Silver Baby Goat - Year of the Goat OMP - Q2088,187630513590,"Jan 27, 2026",$99.95,$5.50,,,Fixed price,https://www.ebay.com/itm/187630513590,1
,,"Oct 14, 2025",$25.00,$4.76,,,Auction,,1
,,"Oct 31, 2025",$519.00,$12.60,,,Fixed price,,1
🐐 2015 Australia Lunar Series II - Year of the Goat 1/2 oz .999 Silver Coin BU,187839333649,"Jan 12, 2026",$45.00,$4.54,,,Fixed price,https://www.ebay.com/itm/187839333649,1
1 SEALED ROLL (5-coins) 2015 $2 DOLLARS LUNAR YEAR GOAT 2 Oz. SILVER AUSTRALIA,187941205497,"Jan 24, 2026","$1,070.00",$10.99,,,Fixed price,https://www.ebay.com/itm/187941205497,1
2015 Year Of The Goat Series 2 Australian Lunar New Year 1 oz Silver 999,187965102957,"Jan 18, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187965102957,1
Niue 2015 $2 Chinese Lunar Calendar Year of the Goat 1 oz Silver Coin,187987749069,"Jan 31, 2026",$143.50,$5.62,,,Auction,https://www.ebay.com/itm/187987749069,1
