Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2013 $15 Canada Lunar Lotus Year of The Snake .999 Silver w/Box & COA,147325077990,"Jun 5, 2026",$89.95,$14.95,,,Fixed price,https://www.ebay.com/itm/147325077990,1
2013 $15 Lunar Lotus Year of the Snake - Pure Silver Coin,298066187790,"Jun 5, 2026",$165.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298066187790,1
NobleSpirit 2013 Canada 1oz Silver $5 Maple Leaf Lunar Snake Privy,800086877491,"Jun 4, 2026",$96.77,$1.91,,,Auction,https://www.ebay.com/itm/800086877491,1
Canada Proof 2013 Year of Snake Lunar Zodiac Lotus Shaped .999 Silver OGP w/COA,298356231276,"May 31, 2026",$64.00,$6.00,,,Auction,https://www.ebay.com/itm/298356231276,1
2013 Canada 1 oz Silver Maple Leaf Lunar Snake Privy,144767254311,"May 16, 2026",$106.61,$0.00,,,Fixed price,https://www.ebay.com/itm/144767254311,2
2013 Canada Proof $15 Silver Lunar Lotus Year of the Snake Coin,389945202417,"May 7, 2026",$89.95,$3.21,,,Fixed price,https://www.ebay.com/itm/389945202417,1
2013 Canada 1 oz Silver $15 Lunar Lotus Year Of The Snake (w/Box & COA),389885405377,"Apr 27, 2026",$89.95,$5.89,,,Fixed price,https://www.ebay.com/itm/389885405377,1
2013 1 oz .9999 Fine Silver Maple Leaf Lunar Snake Privy Reverse Proof,389768655419,"Apr 22, 2026",$109.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389768655419,1
"2013 Canadian 1 oz .9999 Fine Silver 5 Dollars ""Maple Leaf Lunar Snake Privy"" BU",134484265011,"Apr 3, 2026",$138.88,$4.95,,,Fixed price,https://www.ebay.com/itm/134484265011,1
2013 Canada $5 1oz Lunar Snake Privy Mark Silver Maple Leaf Bullion coin,168131445738,"Mar 14, 2026",$109.95,$2.00,,,Fixed price,https://www.ebay.com/itm/168131445738,1
,,"Mar 14, 2026",$109.95,$2.00,,,Fixed price,,1
Canada 2013 YEAR SNAKE Lunar Zodiac Lotus Shaped $15 Pure Silver Proof FULL OGP,154678419194,"Mar 5, 2026",$93.57,$0.00,,,Fixed price,https://www.ebay.com/itm/154678419194,9
2013 Canada Proof $15 Silver Lunar Lotus Year of the Snake Coin,147172054178,"Mar 4, 2026",$92.05,$0.00,,,Auction,https://www.ebay.com/itm/147172054178,1
,,"Mar 4, 2026",$92.05,$0.00,,,Auction,,1
,,"Feb 13, 2026",$49.95,$0.00,,,Fixed price,,1
,,"Feb 9, 2026",$89.99,$0.00,,,Fixed price,,1
,,"Feb 8, 2026",$106.79,$19.77,,,Fixed price,,5
,,"Feb 6, 2026",$108.49,$18.04,,,Fixed price,,4
Canada 2013 YEAR SNAKE Chinese Lunar Zodiac $10 1/2 Oz Pure Silver in FULL OGP,181058783135,"Feb 5, 2026",$53.75,$0.00,,,Fixed price,https://www.ebay.com/itm/181058783135,14
,,"Jan 21, 2026",$64.00,$5.00,,,Fixed price,,4
,,"Jan 20, 2026",$112.36,$0.00,,,Fixed price,,1
Canada 2013 YEAR SNAKE Chinese Lunar Zodiac $10 1/2 Oz Pure Silver in FULL OGP,162593076540,"Jan 18, 2026",$46.15,$0.00,,,Fixed price,https://www.ebay.com/itm/162593076540,6
,,"Jan 17, 2026",$159.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$95.00,$5.00,,,Fixed price,,1
,,"Jan 2, 2026",$44.95,$2.00,,,Fixed price,,1
,,"Dec 27, 2025",$80.00,$5.00,,,Fixed price,,1
,,"Dec 21, 2025",$29.95,$5.71,,,Fixed price,,1
,,"Dec 15, 2025",$65.00,$5.00,,,Fixed price,,1
,,"Nov 21, 2025",$54.00,$4.00,,,Fixed price,,1
