Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1933-S Walking Liberty Half Dollar Nice Original Choice VF+ CHRC,306312007373,"May 15, 2026",$44.99,$0.00,,,Fixed price,https://www.ebay.com/itm/306312007373,1
US 1933-S Walking Liberty Half Dollar **,406913778454,"May 15, 2026",$27.55,$5.00,,,Auction,https://www.ebay.com/itm/406913778454,1
1933-S ANACS Certified EF 40 Walking Liberty Half Dollar,236804312940,"May 14, 2026",$86.00,$0.00,,,Auction,https://www.ebay.com/itm/236804312940,1
1933-S 50C Walking Liberty Half Dollar PCGS AU55 Clear Details Brilliant Luster,127854923616,"May 14, 2026",$420.00,$5.70,,,Fixed price,https://www.ebay.com/itm/127854923616,1
1933-S Walking Liberty Silver Half Dollar,267666099706,"May 13, 2026",$30.00,$2.95,,,Fixed price,https://www.ebay.com/itm/267666099706,1
1933-S Walking Liberty Half Dollar Extremely Fine XF Coin #16738,396228090483,"May 13, 2026",$70.30,$0.00,,,Fixed price,https://www.ebay.com/itm/396228090483,1
1933 S Standing Liberty Half Dollar,227270946992,"May 13, 2026",$45.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227270946992,1
1933-S Walking Liberty Half Dollar,358523637879,"May 12, 2026",$51.00,$0.00,,,Auction,https://www.ebay.com/itm/358523637879,1
1933 S Walking Liberty Half Dollar Silver Coin .50c,236800714688,"May 12, 2026",$26.05,$5.62,,,Auction,https://www.ebay.com/itm/236800714688,1
1933 s walking liberty half dollar SCARCE Fine Conditions Tougher Date,227338154994,"May 12, 2026",$36.50,$5.95,,,Fixed price,https://www.ebay.com/itm/227338154994,1
1933-S Walking Liberty Half Dollar - Scarce Semi-key USA 🇺🇸 Silver Coin,318286572546,"May 12, 2026",$39.00,$4.99,,,Auction,https://www.ebay.com/itm/318286572546,1
1933-S Walking Liberty Half Dollar Silver ---- Nice Coin --- #373H,305789223509,"May 11, 2026",$95.00,$3.95,,,Fixed price,https://www.ebay.com/itm/305789223509,1
1933-S Walking Liberty Half Dollar. Free Shipping,277964639108,"May 11, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277964639108,1
1933-S Walking Liberty Half Dollar - Scarce Extra Fine Semi-key #K975,366388767729,"May 11, 2026",$92.00,$2.81,,,Auction,https://www.ebay.com/itm/366388767729,1
1933-S Walking Liberty Silver Half Dollar $0.50 piece mint mark reverse,277964089177,"May 11, 2026",$34.00,$4.90,,,Fixed price,https://www.ebay.com/itm/277964089177,1
"1933-s Walking Liberty Half Dollar, Better Date, PCGS AU Detail, Free Shipping",377010390468,"May 11, 2026",$239.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377010390468,1
1933-S / WALKING LIBERTY HALF DOLLAR [DVC6591-001] (VINTAGE) KEEPSAKE SLAB / EF,206251309624,"May 11, 2026",$79.95,$5.04,,,Auction,https://www.ebay.com/itm/206251309624,1
"1933-S Walking Liberty Half Dollar, Scarcer San Francisco Date",298287232336,"May 10, 2026",$53.00,$3.25,,,Auction,https://www.ebay.com/itm/298287232336,1
(#100157) Walking Liberty Half Dollar: 1933 S Key Date XF,336559083391,"May 10, 2026",$72.99,$5.40,,,Auction,https://www.ebay.com/itm/336559083391,1
1933 s walking liberty half dollar 50c - combined shipping available,198332866535,"May 10, 2026",$35.00,$4.95,,,Auction,https://www.ebay.com/itm/198332866535,1
"2 Walking Liberty Silver Half Dollars, United States of America, 1933 S & 1943",377153495809,"May 10, 2026",$65.96,$0.00,,,Fixed price,https://www.ebay.com/itm/377153495809,1
1933-S WALKING LIBERTY 50 CENTS SILVER HALF DOLLAR - XF/AU (REF# WL-33-1),377137249606,"May 9, 2026",$84.00,$8.60,,,Fixed price,https://www.ebay.com/itm/377137249606,1
1933-S Walking Liberty Half Dollar 50c Silver Actual Coin Fine For Collection,406912098000,"May 9, 2026",$41.00,$5.50,,,Fixed price,https://www.ebay.com/itm/406912098000,1
"Lot of 9 Silver Walking Liberty Half Dollars 50C 1918-S, 1933-S, 1938, 1941-1947",267662808494,"May 9, 2026",$208.99,$8.15,,,Fixed price,https://www.ebay.com/itm/267662808494,1
1933 S * SILVER WALKING LIBERTY HALF DOLLAR * As Seen *USA Only Please FREE SHIP,389963164871,"May 8, 2026",$25.33,$0.00,,,Auction,https://www.ebay.com/itm/389963164871,1
"Liberty Walking Half Dollar Lot (5) 1917, 1918, 1933 S, 1936, 1939 D",117172845835,"May 8, 2026",$121.15,$6.36,,,Auction,https://www.ebay.com/itm/117172845835,1
1933-S Walking Liberty Half Dollar--Beautiful AU+ Coin!!,206254472404,"May 8, 2026",$299.00,$8.95,,,Fixed price,https://www.ebay.com/itm/206254472404,1
1933-S Walking Liberty Silver Half Dollar Ungraded Coin,236804514034,"May 8, 2026",$33.00,$5.95,,,Fixed price,https://www.ebay.com/itm/236804514034,1
1933 S Walking Liberty Half Dollar NICE CIRCULATED COIN!,168254049821,"May 8, 2026",$33.00,$1.99,,,Fixed price,https://www.ebay.com/itm/168254049821,1
1933-S Walking Liberty Half Dollar EF/Choice VF+ Orig Toning No Issues 50c Coin,277948159321,"May 7, 2026",$56.00,$0.35,,,Auction,https://www.ebay.com/itm/277948159321,1
ESTATE FIND 1933 - S Walking Liberty Half Dollar!! #J11046,147280430216,"May 7, 2026",$35.00,$4.65,,,Auction,https://www.ebay.com/itm/147280430216,1
1933-S Walking Liberty Half Dollar VG+ SN8312,306859350707,"May 6, 2026",$33.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306859350707,1
Lot Of 37 WALKING LIBERTY SILVER HALF DOLLAR 90% Silver (1933-S To 1937-D),127837079950,"May 6, 2026",$835.55,$6.95,,,Auction,https://www.ebay.com/itm/127837079950,1
"1933-S Walking Liberty Half Dollar, Better San Francisco Issue",377151305121,"May 6, 2026",$46.00,$3.25,,,Auction,https://www.ebay.com/itm/377151305121,1
1933 S Walking Liberty 90% Silver Half-Dollar Key Date and Mint Mark 091025 40rk,227305008150,"May 6, 2026",$39.95,$6.95,,,Fixed price,https://www.ebay.com/itm/227305008150,1
1933-S Walkinh Liberty Half Dollar CACG VF-20 CAC,117180133357,"May 5, 2026",$74.49,$6.50,,,Fixed price,https://www.ebay.com/itm/117180133357,1
1933 S Walking Liberty Half Dollar 50c Better Grade #101627,188327116644,"May 5, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188327116644,1
1933-S Walking Liberty Half Dollar ~ Borderline Uncirculated (AU++) ~ 90% Silver,306205510130,"May 5, 2026",$227.74,$4.65,,,Fixed price,https://www.ebay.com/itm/306205510130,3
"1933 S - Walking Liberty Half Dollar - Better Date, Nice Example",306903508818,"May 5, 2026",$54.99,$5.00,,,Fixed price,https://www.ebay.com/itm/306903508818,1
1933-S Walking Liberty Half Dollar Fine Condition,147112338256,"May 4, 2026",$31.50,$5.48,,,Fixed price,https://www.ebay.com/itm/147112338256,1
"1933-S Walking Liberty Half Dollar, PCGS AU55",298209735671,"May 4, 2026",$675.00,$13.95,,,Fixed price,https://www.ebay.com/itm/298209735671,1
1933-S Walking Liberty Half Dollar Circulated,257471500035,"May 3, 2026",$28.00,$5.00,,,Auction,https://www.ebay.com/itm/257471500035,1
1933-S U.S Silver Walking Liberty Half Dollar 50c VF Details 90% Silver,203478653349,"May 3, 2026",$44.75,$0.00,,,Fixed price,https://www.ebay.com/itm/203478653349,1
1933 S Walking Liberty Half Dollar 50C Silver NGC XF Details,206234921536,"May 3, 2026",$29.00,$5.83,,,Auction,https://www.ebay.com/itm/206234921536,1
1933 S Walking Liberty Half Dollar - Fine Condition - 131SU-2,389950348159,"May 3, 2026",$29.00,$2.99,,,Auction,https://www.ebay.com/itm/389950348159,1
1918-S & 1933-S Walking Liberty Half Dollars 90% Silver $1 Face Collection *717,137264408269,"May 3, 2026",$51.00,$0.00,,,Auction,https://www.ebay.com/itm/137264408269,1
1933-S Liberty Walking Half Dollar San Francisco Silver 50C Coin Circulated,397879569392,"May 2, 2026",$32.00,$5.72,,,Fixed price,https://www.ebay.com/itm/397879569392,1
1933 S Walking Liberty Half Dollar,287298432343,"May 1, 2026",$32.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287298432343,1
"1933 S, & 1935 P * 2 SILVER WALKING LIBERTY HALF DOLLARS * As Seen USA FREE SHIP",389934074191,"May 1, 2026",$38.00,$0.00,,,Auction,https://www.ebay.com/itm/389934074191,1
1933-S WALKING LIBERTY HALF DOLLAR XF/AU DETAILS BETTER DATE #2099,168346773202,"May 1, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168346773202,1
